feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Campylobacter	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalicoccus	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Mogibacterium	X.Eubacterium._brachy_group	X.Eubacterium._nodatum_group	Anaerococcus	Finegoldia	Peptoniphilus	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	TM7x	f__Xanthobacteraceae.g__unassigned	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Neisseria	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Aggregatibacter	Haemophilus	Pseudomonas	Akkermansia	Alloscardovia	f__Barnesiellaceae.g__uncultured	Dysgonomonas	Muribaculaceae	Porphyromonas	Alloprevotella	Abiotrophia	Lacticaseibacillus	Leuconostoc	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	f__Christensenellaceae.g__unassigned	Anaerofustis	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	Oribacterium	Robinsoniella	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	Pseudoflavonifractor	CAG.352	Candidatus_Soleaferrea	Paludicola	X.Clostridium._methylpentosum_group	Family_XIII_UCG.001	Parvimonas	Clostridioides	Anaeroglobus	Citrobacter	o__Enterobacterales.f__unassigned.g__unassigned	Azotobacter
run04-149	10	1135	2	0	0	0	0	2578	0	0	20	0	0	173	0	0	3875	0	0	75	116	0	0	0	104	244	22	0	161	0	0	0	0	406	38	32	0	0	0	6	10	0	0	35	0	26	72	0	0	0	0	105	0	0	2	6	103	3152	8	562	651	0	0	98	0	0	0	133	68	5	38	21	212	18	9	353	0	128	10	149	7	0	129	0	358	434	13	27	21	34	4	0	62	23	800	134	35	0	24	0	2	2597	0	46	0	0	559	23	0	0	0	0	151	0	0	0	2	0	6	4	7	81	12	103	0	359	0	0	0	361	0	0	29	23	0	0	14	0	0	33	182	84	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0
run04-150	4	0	53	6	0	0	0	0	0	20	0	0	0	0	0	0	5156	131	183	0	0	0	0	0	7	45	0	2	77	0	0	0	11	0	0	5	0	18	10	0	4	0	0	0	0	0	81	0	0	0	0	0	29	0	0	0	91	1393	0	467	5206	0	0	81	0	0	3	2509	0	0	0	43	568	0	0	31	0	39	0	306	0	0	34	2084	3138	1362	0	46	6	18	79	0	0	0	0	0	0	0	57	6	0	1188	321	140	47	0	1030	6	0	2	2	0	26	0	0	0	2	0	4	10	0	15	5	0	0	0	25	0	0	0	0	0	0	9	0	0	0	19	0	694	0	0	0	0	0	0	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0
run04-151	4	639	0	0	0	83	867	1562	18	0	0	10	0	195	143	0	6419	522	72	231	255	213	0	1674	358	529	0	0	212	1419	41	85	0	203	0	0	0	11	23	0	10	0	0	76	0	0	857	0	0	0	0	47	0	17	0	1224	0	3952	0	0	0	134	0	0	18	0	4	291	0	0	0	272	0	135	0	2384	78	0	173	60	38	0	1112	0	1194	2009	0	24	33	20	161	130	41	63	480	0	196	120	114	0	18	6555	53	186	315	0	462	46	0	39	17	0	362	0	33	281	16	0	0	0	0	0	0	0	0	359	308	612	0	0	0	0	0	0	0	0	0	6	0	0	174	948	0	97	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	3
run04-152	3	105	121	0	0	0	0	0	0	0	27	0	0	0	0	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23817	0	0	0	14	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	27	52	21	0	6	0	0	0	0	0	0	0	0	6	4	0	0	0	0	11	0	0	238	0	204	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run04-153	26	1556	0	8	7	0	0	2981	0	0	0	0	0	84	0	0	3660	554	7	6	0	0	0	386	9	82	7	0	32	0	0	0	0	551	0	29	0	0	0	12	3	3	0	4	2	29	342	19	0	3	0	0	0	0	47	585	237	1595	0	1310	1672	0	0	192	0	0	0	200	59	27	0	55	66	28	20	1096	0	0	0	249	7	0	76	107	7021	2043	0	74	0	28	0	0	15	0	184	4	0	0	0	0	0	3197	0	135	0	0	410	0	0	0	2	0	5	0	0	0	0	0	0	0	0	340	0	21	0	69	0	0	0	327	0	23	0	43	0	0	0	12	0	0	312	233	0	76	0	0	109	0	0	7	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
run04-154	3	1157	0	0	0	28	11	990	0	0	0	24	0	107	32	16	1577	141	26	31	41	128	567	6496	266	161	0	4	33	0	0	784	0	0	0	0	460	0	0	0	0	149	8	0	0	0	118	0	0	0	0	42	88	0	0	3806	101	5147	9	540	783	0	0	173	29	17	0	277	32	52	163	35	35	98	37	645	0	0	60	146	46	56	299	0	529	2153	74	49	0	2	0	55	7	5	254	56	51	7	0	0	0	2002	0	9	0	574	1376	0	1	0	6	10	215	38	16	0	0	0	2	0	0	13	0	11	0	0	408	0	7	4	0	0	0	0	0	0	201	2	0	3	173	0	0	0	0	0	8	0	165	0	0	0	7	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0
run04-155	3	211	11	0	0	0	13	222	0	0	0	0	0	7	6	0	5091	0	0	0	0	0	0	0	2	6	0	3	0	0	0	0	0	58	16	0	0	0	3	0	0	0	0	0	0	0	28	0	0	0	6	3	0	0	4	126	93	495	0	35	90	0	0	78	0	7	0	3	0	3	10	0	0	0	0	23	0	0	10	15	22	0	23	5	11	22	0	3	0	0	0	0	0	3	10	0	6	0	3	0	0	162	0	3	0	124	79	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	2	0	693	0	0	0	27	589	184	194	530	0	0	11	7	0	5	622	4628	201	23	0	0	8	2	5567	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
run04-156	4	342	0	0	5	0	0	2433	0	14	0	0	17	3	185	0	4292	212	52	129	0	0	0	0	101	88	0	132	166	0	0	0	0	16	0	33	0	23	30	0	7	0	0	7	0	15	173	2	0	0	0	80	0	0	254	449	135	2515	0	80	283	2	178	81	9	0	6	752	6	33	15	2	43	0	17	552	8	281	9	375	16	0	24	208	1512	1022	5	70	73	130	21	75	29	109	1408	11	0	0	41	34	6	3017	0	149	445	387	548	34	0	106	41	0	280	0	15	0	3	3	6	0	0	389	0	0	0	0	0	0	0	82	0	17	0	0	2	0	838	8	0	244	154	1998	0	60	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	6	0	0	0	0	0	0	0
run04-159	35	1753	0	21	2	0	0	681	7	56	15	0	0	6	0	0	3460	4	0	4	10	0	0	0	295	137	0	2	7	3	15	0	0	84	0	0	26	0	0	17	38	0	63	195	0	9	1843	0	0	0	0	5	0	0	56	580	3850	3613	138	394	596	17	0	297	0	0	0	389	277	44	96	7	57	96	10	236	10	11	0	110	10	0	84	0	169	1037	14	63	5	21	5	2	35	16	170	3	0	0	70	0	0	2054	0	73	7	228	1478	16	0	0	13	0	110	0	0	0	17	0	26	24	9	88	0	183	0	728	48	813	0	168	0	222	2	0	0	0	5	12	0	215	7	206	23	0	0	0	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
run04-160	6	154	0	0	0	0	0	359	0	0	157	0	34	8	0	0	4159	0	11	6	37	0	0	0	44	26	0	0	12	0	3	0	8	167	0	620	0	0	6	0	191	0	0	87	14	0	825	0	0	0	0	48	0	5	1072	595	62	2782	0	240	536	19	0	93	3	0	27	233	69	3	0	4	37	8	0	93	8	0	22	31	18	9	12	2507	1091	1374	33	36	25	37	1	42	4	22	113	7	16	13	21	12	2	229	29	101	9	470	200	14	33	12	4	0	101	0	4	7	0	0	0	0	0	243	0	90	0	0	6	0	4	76	0	27	0	0	0	0	32	0	0	0	14	0	0	0	0	0	52	0	7	0	0	0	0	0	0	0	0	0	0	0	44	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
run04-161	0	1443	0	2	0	0	0	2528	0	0	10	0	0	228	0	0	3685	93	27	3	5	0	0	1005	15	155	3	0	5	0	0	0	0	702	0	3	0	0	0	0	7	0	0	0	0	0	36	0	0	2	0	0	0	0	23	941	175	3184	23	444	1251	0	0	352	0	0	0	81	123	54	0	168	11	13	0	139	0	0	0	268	3	0	281	52	2785	613	0	37	5	9	0	0	2	0	19	14	0	0	0	0	0	1443	0	69	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	3	0	197	0	0	4	430	0	28	0	153	0	0	0	0	0	0	181	24	0	242	0	0	28	0	0	0	0	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run04-162	3	1000	12	2	2	15	3	825	0	24	25	17	0	45	35	10	3475	119	270	47	42	52	290	3446	416	333	0	22	79	0	0	441	0	31	0	0	243	0	4	0	0	230	0	0	0	0	57	0	0	0	0	48	96	0	0	2052	71	3994	43	1467	784	0	0	303	28	10	0	238	29	75	108	39	57	166	30	1671	0	0	35	212	25	57	173	0	763	1515	51	86	1	3	8	85	16	16	269	56	40	2	35	0	0	2717	0	52	4	484	917	0	0	0	17	10	128	21	17	0	3	0	0	5	2	14	0	34	0	0	234	0	19	61	0	8	0	0	0	23	217	10	3	5	281	0	0	0	2	0	8	0	87	2	0	0	68	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	19	0	0	0	0	0	0
run04-163	0	2379	0	0	0	0	147	2379	0	0	0	11	0	79	104	143	3678	69	0	30	0	0	0	0	93	70	0	66	0	0	0	0	0	538	199	0	0	0	40	0	0	0	0	0	7	0	55	0	0	0	0	24	0	0	29	1053	706	4259	0	275	708	0	0	740	2	0	0	55	26	8	102	48	5	16	7	191	5	0	121	150	224	0	230	48	132	279	13	53	9	0	8	39	22	29	99	14	127	0	51	0	0	1544	0	63	16	1359	921	5	0	0	4	7	118	6	7	0	0	0	2	0	0	23	0	15	0	414	0	0	0	71	597	58	55	184	0	53	107	9	0	33	523	1673	339	0	0	0	4	1	1713	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
run04-164	0	247	0	0	0	0	0	1822	0	16	0	2	10	0	127	0	3137	162	48	98	0	0	0	0	85	73	0	87	150	0	0	0	0	0	0	37	0	19	19	0	17	0	0	5	11	4	98	5	0	8	0	50	0	0	188	333	113	1903	0	35	223	5	127	57	3	0	0	597	0	27	9	8	20	0	16	362	18	214	6	274	7	0	17	155	1264	824	4	38	39	81	8	51	15	77	1047	6	0	3	35	31	9	2159	0	91	323	268	414	30	0	64	30	0	176	0	14	0	6	6	3	0	0	283	0	5	0	0	0	0	0	47	0	7	0	0	0	118	571	26	0	178	102	1388	0	28	0	0	12	5	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	5	0	0	0	3	0	0	0	0	0	0	0
run04-165	8	564	2	12	0	0	0	8	0	0	250	0	3	0	0	0	3117	0	0	0	85	0	0	0	0	0	0	0	297	0	0	0	0	0	0	185	0	0	0	4	21	0	110	0	22	0	264	2	0	0	0	0	3	0	14	163	69	1803	0	76	61	0	0	0	0	0	79	692	98	0	0	25	0	5	11	11	0	0	0	0	0	0	0	0	821	442	0	0	0	68	0	2	55	0	7	0	0	0	2	2	0	3108	3	81	2	12	0	47	0	0	0	0	27	0	0	0	0	0	0	73	0	614	296	25	0	0	312	0	114	2	3	103	0	6582	0	273	0	21	0	4	1089	2235	53	0	0	0	301	15	1073	0	0	0	5	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	23	0
run04-166	31	124	0	12	2	0	0	0	0	0	0	0	0	0	0	0	2300	0	166	0	0	0	0	0	79	40	0	0	0	0	0	0	0	83	0	0	0	0	0	0	35	4	458	0	42	17	634	7	0	4	793	0	0	0	2	48	61	989	0	341	501	0	0	300	0	0	160	632	27	0	0	0	92	0	3	0	50	0	0	217	0	0	0	2108	372	135	2	0	0	39	0	0	0	0	0	0	0	0	0	0	0	793	0	42	0	2	0	49	0	0	0	0	0	0	10	0	0	0	0	0	0	17	7	0	0	0	161	0	0	0	3	257	0	556	0	0	0	0	0	188	0	897	0	0	7	0	514	265	0	0	0	0	0	0	0	0	0	0	75	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0
run04-167	3	1382	0	8	0	0	0	1236	61	7	0	0	0	46	7	0	5453	49	17	40	73	0	0	0	212	262	0	18	90	53	210	0	9	23	0	5	299	2	0	40	17	0	22	39	4	0	923	2	0	3	11	1	2	0	60	2096	1163	3419	49	332	302	0	0	427	0	0	2	598	153	44	40	46	12	22	18	872	12	3	15	283	132	0	17	16	288	550	42	31	17	8	10	15	37	9	75	19	9	0	31	0	0	2857	0	107	9	1388	806	12	0	4	9	0	56	0	0	0	10	0	15	8	5	51	0	215	0	333	243	7550	0	47	0	66	0	0	2	40	46	7	2	51	60	160	4	0	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	5	0	0	0	0	0	0
run04-168	0	565	2	7	0	0	0	2124	0	0	68	0	20	49	0	0	4073	0	44	39	255	0	0	0	247	226	0	0	51	0	5	0	0	389	0	306	0	0	51	0	118	0	14	31	66	0	3998	0	0	0	4	193	0	22	491	2878	105	3642	0	554	673	8	0	376	10	0	10	200	28	16	0	27	26	46	0	75	10	0	39	147	133	66	51	1277	1465	1131	29	45	45	20	11	229	31	54	666	52	84	57	90	41	0	1151	10	123	59	2286	765	17	178	51	18	0	431	0	24	40	3	2	0	0	0	110	0	45	0	0	37	0	0	36	0	5	0	0	0	0	183	2	0	0	90	0	5	0	0	0	22	0	53	0	0	0	0	0	0	0	6	0	0	0	205	2	0	0	0	0	0	4	0	0	0	0	5	0	5	0	0	0	0	0	0
run04-169	18	747	0	1	5	0	0	991	0	6	0	0	0	73	28	0	4093	90	0	27	0	6	0	169	95	446	0	0	84	0	0	0	0	112	0	0	0	0	0	0	239	6	0	0	10	0	11121	0	0	2	0	0	0	0	0	99	974	912	0	328	1019	0	0	0	0	0	0	3399	0	3	0	0	5	0	0	1321	4	3	0	17	0	0	38	3404	847	185	0	4	0	2	6	0	26	16	0	0	0	0	109	0	0	962	0	167	0	9	744	9	0	0	0	0	34	0	0	4	0	0	0	0	0	31	5	48	0	0	10	0	0	139	1226	31	0	1045	3	5	0	11	0	0	464	37	0	0	0	0	52	3	0	0	0	0	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run04-170	19	313	3	0	0	0	0	969	0	0	0	0	0	0	0	0	5081	0	0	0	0	0	0	0	399	0	6	0	0	0	0	0	37	0	0	0	1070	0	0	19	22	0	0	0	28	0	143	14	0	0	15	0	5	0	16	277	77	1282	0	178	668	0	4	38	2	0	222	521	0	65	61	45	0	0	34	1301	229	540	5	231	20	0	0	176	4187	159	0	36	13	764	0	52	51	0	0	8	0	3	2	0	4	1753	0	329	0	36	840	20	0	33	0	8	59	0	0	0	2	0	0	0	5	20	0	105	0	0	0	0	42	121	0	241	0	15	8	138	0	70	6	249	0	502	245	0	67	18	145	16	42	5	0	0	29	0	0	2	0	2	0	33	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	337	0
run04-97	13	1077	0	11	0	0	62	0	0	85	106	0	0	0	0	0	6432	0	0	0	24	0	0	0	0	16	0	0	0	0	0	0	6	531	0	39	0	0	0	0	78	0	0	0	0	0	137	2	0	0	0	0	0	0	0	0	431	3847	0	835	10	0	0	178	0	0	12	677	14	0	0	3	362	0	3	1836	97	0	0	390	36	0	0	0	797	644	16	161	0	279	0	0	0	0	0	198	0	0	85	0	0	5863	45	68	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	686	0	2	0	0	0	0	0	520	3	263	236	0	0	0	0	13	0	0	879	311	0	1249	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run04-98	15	980	0	3	0	0	0	1997	0	0	12	0	4	112	0	0	4304	0	0	65	139	0	0	0	105	265	23	0	155	0	0	0	0	520	47	57	0	0	2	10	23	0	0	47	0	130	106	0	0	0	0	192	0	0	8	114	112	2449	8	623	743	0	0	90	0	0	0	146	31	10	56	17	205	22	9	346	0	222	8	205	11	0	137	0	275	771	9	42	33	45	2	0	71	63	546	183	49	0	38	2	0	2099	0	46	0	0	508	20	0	0	0	0	315	0	0	0	8	0	0	0	0	115	10	199	1	516	0	0	0	558	0	0	27	6	0	0	33	0	0	42	186	58	503	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
run04-99	24	0	11	29	0	0	4	0	0	20	0	5	0	0	0	0	6580	90	208	0	0	0	0	2	11	61	0	0	124	8	0	0	62	0	0	11	0	19	36	0	10	0	0	0	0	0	152	15	0	10	0	0	26	0	0	0	102	765	0	251	3424	0	0	58	0	0	0	1171	0	0	0	13	355	4	0	42	0	32	0	308	0	0	17	1448	1667	1270	0	19	7	19	16	0	0	3	0	0	0	0	47	2	0	1422	298	194	32	0	868	9	0	4	2	0	39	8	0	0	9	13	0	0	0	0	53	0	0	0	49	4	0	0	0	15	2	32	0	13	5	37	15	703	0	0	0	0	0	7	94	5	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	37	0	0	0	0	10
run05-111	4	0	7	0	0	0	0	0	0	0	55	0	8	0	0	0	3641	0	0	0	0	0	0	0	104	0	0	298	0	0	0	0	0	906	0	19	0	0	4	0	4	0	0	0	0	2	397	0	0	0	2	0	175	0	0	2129	370	5366	0	251	63	0	18	1000	2	0	2	208	28	0	0	59	62	13	0	141	38	11	0	229	9	10	15	47	659	1005	5	12	4	11	0	0	15	16	13	0	0	0	6	9	0	3258	2	10	4	84	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	256	0	130	0	0	0	0	0	685	0	2	0	0	0	0	0	3	0	0	0	1645	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
run05-127	0	68	0	32	3	0	0	378	0	0	0	0	0	0	0	4	318	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	121	0	496	23	0	16	16	0	0	0	4	253	260	713	291	431	489	0	0	234	4	0	0	97	18	43	86	0	155	0	0	34	0	0	7	43	0	0	81	0	301	297	8	38	55	12	0	0	0	0	0	8	0	0	0	0	0	1579	0	29	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	18	18	5	0	0	0	0	0	0	90	21465	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
run05-134	3	534	5	0	0	0	0	1255	0	91	17	0	8	0	3	75	4319	97	126	0	150	0	0	0	173	75	0	29	0	5	0	0	0	348	0	0	0	0	20	8	0	0	0	0	0	0	32	0	0	2	0	108	34	0	2	182	20	2871	208	1096	514	0	0	111	45	0	0	306	5	43	47	28	22	0	13	2823	50	0	2	194	0	0	85	76	1368	755	5	114	18	28	24	86	27	10	483	28	81	8	36	9	0	1666	5	83	0	22	638	17	0	3	8	0	28	0	38	0	2	0	0	0	0	24	0	0	0	0	213	0	0	0	0	0	0	6	0	0	57	6	0	13	133	684	0	151	0	0	9	0	1927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	27	0
run05-162	0	0	0	0	0	0	0	0	0	0	80	0	16	0	0	0	3728	0	0	0	0	0	0	0	133	0	0	210	0	0	0	0	0	854	0	15	0	0	7	0	7	0	0	0	0	0	371	0	0	0	0	2	334	0	0	3952	582	7898	0	564	84	0	40	1538	0	0	0	404	44	0	0	66	157	17	18	149	91	6	0	380	9	24	21	49	798	1649	4	12	16	9	2	0	8	8	72	0	0	2	7	11	0	5012	13	40	4	151	7	0	0	0	0	0	136	0	0	0	0	0	10	2	0	389	0	130	0	0	0	0	0	958	0	2	0	0	0	0	0	9	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
run05-87	17	4	0	0	2	0	0	65	0	0	0	0	0	0	0	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	44	0	0	0	283	20	0	0	3	0	0	0	2069	0	0	214	0	0	1749	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5924	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	4	9	0	0	0	0	0	0	0	0	0	0	146	0	58	0	0	0	14	2	8	0	1223	0	0	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
run05-88	15	25	7	9	0	0	0	0	0	0	74	0	11	0	0	0	1786	0	9	14	0	2	0	0	140	74	0	0	10	0	0	0	29	0	0	40	0	0	11	0	47	0	0	0	0	0	45	17	0	10	0	8	0	0	13	191	0	426	0	0	843	0	0	0	0	0	2	221	0	0	0	0	0	22	0	12	108	0	9	16	23	0	0	911	1962	297	0	0	18	44	72	2	28	0	0	0	12	0	12	0	4	58	64	44	0	118	72	72	0	0	0	0	12	0	0	6	0	0	17	19	35	605	0	18	0	262	151	0	0	0	3	96	0	3	0	0	6	38	0	24	52	1932	0	0	0	0	59	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
run06-101	39	1397	0	33	6	0	178	3625	0	6	26	0	11	147	171	20	3389	164	15	0	42	19	29	0	75	104	4	0	65	0	11	0	95	0	0	17	0	6	144	2	25	2	0	0	0	0	478	20	0	22	0	10	0	0	5	0	181	2566	0	383	697	35	5	107	59	0	59	184	0	0	3	7	0	43	0	634	22	241	3	49	6	0	3	1345	883	648	0	139	226	76	82	48	134	30	392	12	36	42	103	0	0	1127	319	117	687	170	676	24	0	5	39	0	24	0	23	7	3	0	0	0	0	55	0	41	4	158	267	0	0	17	0	22	0	0	6	0	0	0	0	0	154	33	0	3	0	0	92	147	0	0	7	0	0	22	0	0	0	0	0	0	29	0	0	0	0	4	0	14	0	125	0	0	0	2	0	77	0	0	0	0	0
run06-102	322	31	0	126	99	0	17	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6525	0	0	0	4068	339	0	193	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	3	0	74	0	0	0	0	0	0	0	0	659	2	5	24	0	0	0	0	0	0	0	4714	0	0	0	23	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
run06-103	0	64	0	0	0	37	930	19	0	0	0	2	0	0	0	0	4301	0	0	0	12	32	0	106	61	20	0	0	0	0	0	470	0	0	0	0	26	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	30	414	4498	517	358	498	0	0	169	3	153	3	320	0	109	514	17	82	124	58	3191	3	0	0	303	23	0	106	0	54	2280	87	193	4	8	12	368	42	6	190	16	35	13	21	0	0	395	0	5	0	28	1583	0	0	3	6	4	94	0	0	3	23	0	0	0	4	0	0	0	0	0	114	0	15	222	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	41	0	24	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
