feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Campylobacter	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalicoccus	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Mogibacterium	X.Eubacterium._brachy_group	X.Eubacterium._nodatum_group	Anaerococcus	Finegoldia	Peptoniphilus	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	TM7x	f__Xanthobacteraceae.g__unassigned	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Neisseria	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Aggregatibacter	Haemophilus	Pseudomonas	Akkermansia	Alloscardovia	f__Barnesiellaceae.g__uncultured	Dysgonomonas	Muribaculaceae	Porphyromonas	Alloprevotella	Abiotrophia	Lacticaseibacillus	Leuconostoc	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	f__Christensenellaceae.g__unassigned	Anaerofustis	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	Oribacterium	Robinsoniella	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	Pseudoflavonifractor	CAG.352	Candidatus_Soleaferrea	Paludicola	X.Clostridium._methylpentosum_group	Family_XIII_UCG.001	Parvimonas	Clostridioides	Anaeroglobus	Citrobacter	o__Enterobacterales.f__unassigned.g__unassigned	Azotobacter
run04-108	24	3463	0	0	0	0	323	5600	0	0	0	35	0	126	259	462	2492	281	7	44	0	0	0	0	112	166	0	173	0	0	0	0	0	224	365	3	0	9	197	0	0	5	0	5	38	0	208	0	0	0	0	88	0	5	120	1490	1088	3583	0	287	945	0	0	812	0	0	0	103	18	57	90	68	17	47	7	343	0	0	127	424	296	0	188	117	372	215	34	99	38	2	18	132	36	42	211	10	494	0	93	0	32	2980	0	110	20	1668	859	8	0	4	7	6	545	16	13	0	0	0	0	0	0	64	0	31	0	752	0	0	0	296	1461	65	0	0	5	0	418	4	0	136	557	139	955	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	0	0	0	0	0	0
run04-109	53	942	0	0	0	0	0	4	0	0	163	0	0	0	0	0	2478	0	0	0	63	0	0	0	0	0	0	0	354	0	0	0	18	0	0	109	0	0	0	0	24	0	159	0	0	0	1161	17	0	0	0	0	0	0	0	40	53	519	0	17	33	0	0	0	0	0	19	418	36	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	333	176	0	0	0	41	0	0	43	0	7	0	0	0	0	0	0	4052	0	52	9	0	0	19	0	0	0	0	25	0	0	9	0	0	0	75	0	450	123	0	0	0	266	0	82	0	4	401	0	8380	0	0	0	10	0	0	1451	4705	226	0	0	0	1663	17	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	46	0
run04-110	30	174	0	10	9	0	0	0	0	0	0	0	0	0	0	0	4940	0	313	0	0	0	0	0	129	5	7	0	0	0	0	0	13	242	0	0	0	0	0	0	126	8	0	0	73	73	1204	27	0	22	0	0	0	0	23	78	93	1295	0	509	813	0	0	429	0	0	227	1058	49	0	0	0	139	0	5	0	68	8	0	461	0	0	0	3324	505	197	3	0	0	58	0	0	0	0	0	0	0	0	0	0	0	1558	0	104	0	0	0	175	0	0	3	0	0	0	21	0	0	0	0	0	0	39	8	0	0	0	370	0	0	0	1	643	0	1740	4	0	0	5	0	435	0	1231	0	0	26	0	1268	2	0	2	0	0	0	0	0	9	0	0	41	74	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	370	0	0	0	0
run04-111	36	1222	0	17	0	0	0	2329	7	0	5	0	0	120	27	0	2143	277	33	12	29	0	0	0	61	104	0	21	38	132	382	0	4	0	0	7	927	0	0	217	2	0	0	0	0	0	414	7	0	8	0	8	0	0	214	1438	47	1669	22	426	207	0	0	83	0	0	0	145	77	18	22	10	0	0	20	959	3	0	22	308	36	0	0	23	523	489	16	5	22	10	6	56	26	4	87	36	31	0	9	0	0	1635	0	106	0	714	762	0	0	0	0	0	52	0	0	0	0	0	0	0	0	120	0	1053	0	522	39	1411	0	0	0	67	0	8	5	0	28	0	2	0	138	0	0	0	0	4	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	7	3	0	0	0	0	0
run04-112	41	698	0	16	0	0	0	2438	0	3	15	0	8	73	0	0	2005	0	52	37	186	0	0	0	227	17	0	0	65	0	6	0	0	363	0	33	0	0	64	0	26	0	0	0	42	0	4130	4	0	3	0	159	0	11	13	2001	60	1809	0	309	432	0	0	225	6	0	0	47	0	13	0	14	3	35	0	53	0	0	13	124	59	16	45	44	929	503	14	28	49	1	8	199	20	30	679	46	78	49	68	62	5	1114	0	63	46	1459	748	22	171	33	22	0	445	0	13	39	4	0	0	0	0	5	0	0	0	0	57	0	0	0	0	0	0	0	2	0	193	0	0	0	93	0	6	0	0	0	21	0	28	0	0	0	0	0	0	0	11	0	0	0	130	3	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0
run04-113	38	1512	0	11	15	9	2	1282	0	2	0	2	0	85	10	0	3322	53	0	23	0	0	0	96	58	264	0	0	69	0	0	0	0	307	0	0	0	0	0	0	130	10	0	0	0	0	6733	0	0	6	0	0	0	0	0	207	506	1098	0	237	738	0	0	13	0	0	0	2335	0	8	2	0	21	0	6	1181	0	0	0	9	0	0	47	2115	800	256	0	15	4	0	0	0	0	0	0	0	0	0	50	0	0	1855	0	51	0	0	1060	4	0	0	0	0	32	0	0	0	0	0	0	0	0	27	4	49	0	0	13	0	0	211	1119	13	0	226	2	0	0	2	0	0	282	0	0	0	0	3	77	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run04-114	14	649	8	4	2	0	0	1182	0	0	0	0	0	0	0	0	4546	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	50	0	0	0	1784	0	0	4	17	0	0	2	2	0	335	9	0	15	0	0	0	0	50	649	243	2309	0	163	579	0	0	191	0	0	109	509	0	88	84	0	0	0	37	1611	161	322	4	527	39	0	0	189	4136	173	0	29	31	290	0	162	57	0	0	26	0	0	0	0	54	2468	0	41	0	13	1608	22	0	47	0	0	305	0	15	5	0	0	0	0	0	38	0	76	0	0	0	0	47	245	0	178	0	7	6	66	0	5	4	171	0	1078	418	6	53	15	116	0	44	0	0	0	0	0	0	5	0	0	0	5	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	176	0
run04-145	6	269	2	0	0	0	0	1955	0	0	0	0	3	96	186	0	6692	1678	298	0	360	0	0	0	76	214	0	0	0	0	0	453	0	0	0	0	323	6	0	0	3	0	0	0	0	12	267	10	0	19	0	0	0	0	0	0	427	2584	0	978	1531	0	0	136	0	0	0	881	22	24	0	15	27	247	19	103	0	0	0	813	24	0	41	0	1085	4230	0	186	52	4	0	0	35	108	5	23	27	0	129	0	0	1179	0	168	27	16	1473	0	0	0	11	0	334	0	0	0	0	0	6	13	8	16	0	32	0	537	130	0	0	0	0	3	0	0	0	0	27	10	0	0	957	0	0	33	6	12	47	0	149	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	6	0	0	0	0	0
run04-147	55	287	93	101	12	0	0	749	0	0	13	0	0	0	0	0	549	18	33	40	0	0	0	0	100	31	17	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	250	247	29	0	82	0	0	0	0	17	37	51	675	0	101	113	0	0	0	0	0	27	185	0	0	17	0	0	0	0	315	59	3	0	183	0	0	85	596	115	428	0	33	0	14	0	0	0	0	0	0	0	0	0	0	0	151	0	23	0	4	655	13	0	0	5	0	0	11	0	0	0	10	440	262	428	0	12	0	0	0	0	2	15	75	0	59	43	37	0	0	35	236	0	0	145	1077	0	11	76	0	370	28	15	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	8	0	775	24
run04-148	4	720	19	7	0	0	32	0	0	79	89	0	0	0	0	0	4616	0	0	0	13	0	0	0	0	92	2	0	0	0	0	0	0	218	0	27	0	0	0	0	17	0	0	0	0	0	86	2	0	2	0	0	0	0	0	0	269	3156	0	638	11	0	0	148	0	0	2	506	21	0	0	5	251	0	8	1512	115	0	0	169	17	0	0	0	644	570	14	73	0	141	0	0	0	0	0	129	0	0	32	0	0	3614	41	22	0	0	2	0	0	3	0	0	17	0	0	0	0	0	0	11	2	424	0	0	0	0	0	0	0	379	0	104	113	0	0	0	0	11	0	0	305	263	0	950	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
