feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4122.2.lib29	107	11964	0	179	29222	6919	2986	0
4122.3.lib29	42	4819	0	277	11270	3115	1145	0
4122.4.lib29	59	12177	0	906	26265	8860	3499	0
4129.2.lib29	3418	13130	0	372	21264	0	2123	0
4129.3.lib29	1604	10030	0	282	16945	0	1702	0
4129.4.lib29	2627	20463	0	461	28769	0	1925	0
4134.4.lib29	1449	17834	0	0	29543	2	3684	0
4135.2.lib29	66	6598	0	0	10691	0	907	0
4135.3.lib29	77	8828	0	0	14454	0	1039	0
4135.4.lib29	38	11420	0	0	14719	0	1355	0
4136.2.lib29	14	11204	0	0	35455	0	4719	0
4136.3.lib29	110	15329	0	0	39032	0	9153	0
4136.4.lib29	20	12120	0	0	32056	0	4722	0
4142.3.lib29	402	12169	0	625	32118	0	1398	866
4142.4.lib29	369	14938	0	538	22926	0	1188	741
4143.2.lib29	635	21801	0	1027	22722	6	4214	167
4143.3.lib29	748	19627	0	831	20508	32	3795	160
4143.4.lib29	586	17369	0	1103	18252	8	2459	110
4153.2.lib29	268	1869	0	0	20774	18	2458	171
4153.3.lib29	724	3494	0	0	31184	19	2522	109
4153.4.lib29	409	5733	0	0	45641	16	4318	404
4160.2.lib29	200	45112	0	0	31535	0	445	0
4160.3.lib29	0	31628	0	0	23498	0	342	0
4160.4.lib29	0	38604	0	0	30725	0	440	0
4161.2.lib29	79	963	0	0	29699	38	21738	0
4161.3.lib29	61	1021	0	0	18768	63	9290	0
4161.4.lib29	63	775	0	0	16316	44	3682	0
4191.2.lib29	221	9859	0	118	15016	30	7433	37
4191.3.lib29	240	18026	0	111	15468	3	7477	107
4191.4.lib29	130	16614	0	87	11620	0	7847	19
4195.2.lib29	205	35	0	0	37622	0	8760	0
4195.3.lib29	216	176	0	0	31822	0	5130	0
M001.AS	130	2213	126	0	8961	0	582	0
M002.AS	798	13156	0	1496	19560	8780	2837	52
M002.SI	724	8729	0	499	31924	6994	2229	47
M003.SI	85	9924	46	294	11466	0	6138	8
M004.AS	2360	17071	10	137	41757	3	1907	0
M004.SI	1462	11812	22	142	22965	0	586	0
M005.AS	99	11768	0	994	10084	0	1075	3625
M006.AS	3884	29465	0	358	91186	24	11131	0
M006.SI	629	6518	0	94	28908	12	4295	0
M007.AS	2	2699	0	0	4193	1405	14501	0
M007.SI	8	8452	0	60	11102	5374	3340	0
M008.SI	27	4165	0	80	8247	0	1602	184
M009.SI	12	16726	0	279	17621	0	1587	1133
M010.SI	30	1477	0	4	16274	1	2162	0
M012.SI	398	6588	54	60	21665	0	2612	247
M013.AS	339	4955	0	24	29509	0	686	0
M013.SI	271	5404	15	58	33764	0	766	4
M014.AS	599	5082	0	46	19579	0	670	0
M014.SI	999	10545	0	45	35960	4	1059	0
M015.AS	797	13369	198	659	47467	0	2181	493
M015.SI	481	8282	218	240	34956	0	1123	304
M016.AS	91	9051	21	127	46575	0	1439	33
M016.SI	85	9371	34	48	25646	0	4092	24
M017.AS	129	3132	133	50	6809	0	249	399
M017.SI	459	6391	244	752	13427	134	2519	1213
M022.AS	1276	17849	0	65	44590	23	2420	0
M022.SI	604	7119	0	38	19835	2	1103	0
M023.AS	485	5559	52	6	29507	0	2031	0
M023.SI	1115	12639	110	0	51609	0	4438	3
P301CA1R.lib20	1637	6954	46	184	12068	0	984	199
P301SI1R.lib20	410	4701	45	92	7621	0	760	187
P302CA1R.lib21	935	3966	466	70	16638	0	972	22
P302SI1R.lib21	1083	5891	1163	127	25743	0	1430	45
P304CA1R.lib21	161	1408	0	0	14023	0	1535	0
P304SI1R.lib21	551	2611	0	9	18969	0	2781	0
P305CA1R.2.lib21	102	9874	0	84	9446	15	5030	0
P305SI1R.lib20	69	6624	0	8	2668	2	2631	0
P306CA1R.lib21	410	7704	31	153	14730	178	942	41
P306SI1R.lib21	459	17341	45	632	25759	65	2294	113
P307CA1R.lib21	438	3148	62	29	11687	0	935	28
P307SI1R.lib21	260	3606	66	65	16921	0	1428	24
P308CA1R.lib21	417	9237	95	100	41858	0	1170	6465
P308SI1R.lib20	149	4675	19	52	10650	0	336	1941
P310CA1R.lib21	352	5791	132	0	19291	0	2796	68
P310SI1R.lib21	336	5336	120	9	17446	0	2393	63
P314CA1R.lib21	947	7316	27	0	30696	0	4622	0
P314SI1R.lib21	1483	8246	234	33	23456	7	4308	0
P318CA1R.lib21	393	8288	163	43	28774	6	1597	0
P318SI1R.lib21	554	11860	129	61	30534	0	1599	4
P320CA1R.lib21	152	4518	223	380	7585	0	606	289
P320SI1R.lib20	237	4595	180	376	13548	0	470	158
P321SI1R.lib21	32	1311	0	23	11265	0	124	72
P323CA1R.lib21	1190	9747	104	132	30037	0	2399	116
P323SI1R.lib20	395	3435	65	70	11410	0	970	51
P325CA1R.lib21	1127	12540	113	168	24055	0	2013	6209
P325SI1R.lib21	136	3324	39	134	8366	0	640	1075
P326CA1R.lib21	748	4056	49	13	14520	0	855	4
P326SI1R.lib21	2252	8306	36	60	21262	0	2353	15
P329CA1R.lib21	119	6631	0	5	16183	0	1540	48
P329SI1R.lib21	156	6263	0	2	17683	2	658	141
P333CA1R.lib21	250	3548	43	15	21261	28	394	6
P333SI1R.lib21	1076	11677	136	149	36773	16	910	0
P334CA1R.lib21	934	3099	0	60	19316	0	1096	0
P334SI1R.lib21	1099	3600	0	49	17286	0	1386	0
P336CA1R.lib21	519	3263	0	29	11452	51	788	0
P336SI1R.lib20	558	2240	0	21	7076	5	619	0
