feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4128.2.lib27	947	26253	0	14	25146	11	2295	45
4128.3.lib30	1158	24571	0	0	29647	0	3897	31
4128.4.lib30	1178	12519	0	0	24738	2	3067	13
4130.2.lib27	31	15680	1814	32	21372	0	471	3204
4130.4.lib30	43	17724	1760	18	16320	0	848	2324
4131.2.lib27	1290	18845	0	31	29031	0	438	0
4131.3.lib30	695	6362	0	16	9782	0	219	0
4131.4.lib30	692	8169	0	33	9788	1	168	0
4132.2.lib27	453	14765	0	0	27394	0	268	0
4132.3.lib30	634	29819	0	0	34391	0	345	0
4132.4.rerun.lib32	288	19890	0	0	22677	0	315	0
4133.2.lib27	17	15024	0	0	11544	0	11107	0
4133.3.lib30	2	6846	0	0	6332	0	5719	0
4133.4.rerun.lib32	66	29452	0	0	21386	0	20584	0
4139.2.lib27	147	13385	0	219	17969	0	1203	0
4139.3.lib30	45	4349	0	30	6080	0	365	0
4139.4.lib30	289	15567	0	319	20303	0	1229	0
4140.2.lib27	222	7726	66	0	17143	8	1890	1649
4140.3.rerun.lib32	334	4191	48	0	32928	0	2316	3163
4140.4.rerun.lib32	695	15576	107	0	34063	20	4753	4079
4141.2.lib27	149	17787	0	0	35756	3	561	319
4141.3.lib30	114	7348	0	0	12990	4	213	38
4141.4.lib30	78	5947	0	0	12781	0	142	48
4146.2.lib27	1768	11064	0	44	15566	0	5091	0
4146.3.lib30	2740	16208	0	57	17386	0	6914	0
4146.4.lib30	1948	12443	0	149	18989	8	4572	0
4147.2.lib27	170	2108	0	0	8753	0	23	0
4147.3.lib30	258	3120	6	0	7418	0	31	0
4147.4.rerun.lib32	992	6288	0	0	29586	0	173	3
4148.2.lib27	958	4608	0	0	22898	0	5846	0
4148.3.lib30	635	3806	7	0	9272	0	1328	0
4148.4.lib30	1213	5897	0	0	23934	0	10937	0
4149.2.lib27	1065	19121	0	2701	35061	4	3705	8
4149.3.lib30	554	6400	0	1111	13556	0	1155	0
4149.4.lib30	343	2439	0	741	6707	0	417	0
4150.2.lib27	2	27	0	0	28745	11	5214	0
4150.3.lib30	25	68	0	0	29991	21	5511	0
4150.4.lib30	13	50	0	0	26728	6	3643	0
4151.2.lib27	137	13664	0	5	53221	0	15327	0
4151.3.lib30	131	4871	0	28	9761	0	979	0
4151.4.rerun.lib32	579	11021	0	122	47692	0	10266	0
4156.2.rerun.rep.lib32	26	23979	0	0	24142	0	626	30
4156.3.rerun.lib32	30	10180	140	0	27226	0	414	0
4156.4.rerun.lib32	4	31337	0	0	16188	0	147	0
4158.2.lib27	108	22019	0	0	38129	14	375	1180
4158.3.lib27	12	17619	0	0	12977	4	214	244
4158.4.lib30	46	16841	0	0	13941	3	400	1256
4159.2.lib27	305	4617	0	0	24902	66	1422	0
4159.3.lib30	160	4417	0	0	13338	35	1022	0
4159.4.lib30	408	13376	0	0	40255	124	2688	0
4163.2.lib27	886	22656	0	0	39494	0	5807	0
4163.3.lib30	470	14290	0	0	29118	0	3977	0
4163.4.lib30	530	32127	0	0	42772	0	12548	0
4166.2.lib27	212	9736	0	522	23705	0	1539	37
4166.3.lib30	186	19250	0	703	30456	0	2350	32
4166.4.lib30	555	7601	349	770	11239	0	286	4609
4167.2.lib27	245	8398	0	486	21126	0	1115	12
4167.3.lib30	586	8597	271	771	8681	0	248	3289
4167.4.rerun.lib32	481	23304	0	1050	37842	0	3048	85
4168.2.lib27	191	11836	0	0	11000	0	684	0
4168.3.lib30	137	7418	0	0	6660	0	278	0
4170.2.lib27	773	8806	0	842	12139	0	166	471
4170.3.rerun.lib32	2169	10538	0	1530	12436	0	334	761
4170.4.lib30	3756	19683	0	3596	36488	0	572	1305
4173.2.lib30	30	1751	0	0	10870	0	2670	6
4173.3.lib30	156	9925	0	0	55483	0	18158	50
4173.4.lib30	200	29727	0	0	56177	0	36322	552
4174.2.lib30	543	8766	0	0	14943	20	265	0
4174.3.lib30	1053	11470	0	0	19794	0	581	0
4174.4.lib30	438	3671	0	0	6147	5	155	0
4176.2.lib30	90	16	0	0	49610	9	2156	0
4176.3.rerun.lib32	113	0	0	0	43193	0	1692	0
4176.4.lib30	248	0	0	0	75620	0	4125	0
4177.2.lib30	603	10326	0	17	20898	4	3015	100
4177.3.lib30	815	10314	0	24	29304	0	3656	206
4177.4.lib30	1886	35402	0	83	54835	0	6401	487
4178.2.rerun.lib32	945	13498	0	0	32944	0	48605	0
4178.3.lib30	43	7511	0	0	6899	0	9633	0
4178.4.rerun.lib32	14	4357	0	0	5325	0	5690	0
4180.2.lib30	344	12588	0	73	19243	0	285	0
