feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	f__Prevotellaceae.g__uncultured	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Solobacterium	Turicibacter	X.Clostridium._innocuum_group	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Megamonas	Mitsuokella	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Actinobacillus	Haemophilus	Victivallis	Akkermansia	Alloscardovia	Corynebacterium	Dysgonomonas	Porphyromonas	Campylobacter	f__Erysipelotrichaceae.g__unassigned	Abiotrophia	Enterococcus	Lacticaseibacillus	Lactobacillus	Leuconostoc	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Staphylococcus	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	Robinsoniella	DTU089	X.Eubacterium._nodatum_group	Anaerococcus	Peptoniphilus	Clostridioides	Anaeroglobus	Veillonellaceae	Sphingobium	Citrobacter	Klebsiella	f__Enterobacteriaceae.g__unassigned	o__Enterobacterales.f__unassigned.g__unassigned	Azotobacter	Pseudomonas
Cah8-304-CE	2	3	0	0	0	0	150	0	24	69	0	16	0	252	0	3940	643	27	0	176	91	68	2357	0	0	0	8	0	2	724	143	9	0	144	0	3	27	4	0	0	0	68	5	9	0	3	2	0	0	90	0	0	0	0	366	50	0	10	37	0	0	91	0	277	200	369	442	0	0	17	54	0	0	547	0	11	0	0	64	283	10	0	163	0	0	0	5	2	16	0	0	0	7	73	708	4576	5	26	0	9	32	22	22	126	4	0	712	13	1225	21	232	0	0	162	0	2236	11	46	121	0	28	182	22	34	11	21	0	0	140	37	0	26	3	0	0	0	76	0	69	0	0	184	14	0	0	35	0	3	3117	0	411	0	1533	107	0	9	6	342	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-304-RE	0	6	4	0	0	0	170	5	11	67	0	0	0	231	0	3218	504	15	0	113	95	60	2091	0	0	0	8	0	1	566	105	8	0	90	0	3	30	13	0	0	0	74	8	20	0	0	0	0	0	96	0	0	0	0	304	72	0	5	27	0	0	197	6	216	155	461	398	6	0	17	60	0	0	425	0	4	7	0	53	256	2	0	136	0	0	0	0	0	11	2	0	0	7	55	563	3280	3	32	0	27	28	15	41	133	2	0	898	13	1270	16	185	9	0	160	0	2149	18	30	96	3	33	121	11	68	8	15	0	0	147	44	0	17	2	0	0	0	67	0	44	0	0	114	10	0	0	39	0	0	2334	0	351	2	1370	69	0	0	10	308	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-305-CE	0	457	0	0	0	0	1783	0	3	216	0	0	0	0	0	5488	0	88	0	0	2	0	0	0	0	0	0	0	0	68	2	0	0	7	0	0	0	39	165	0	0	541	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	50	643	1542	0	133	387	0	0	230	0	0	3	475	60	4	60	0	11	0	0	0	8	0	62	20	0	0	151	0	17	0	0	711	629	127	6	34	0	66	42	25	0	82	0	0	0	0	2	0	26	0	0	0	0	923	0	19	0	0	3	78	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-305-RE2	0	24	0	4	0	0	395	21	15	42	0	64	0	0	0	11653	1426	2	10	0	127	0	0	0	0	0	0	0	0	818	226	0	14	78	0	0	0	656	0	0	0	0	14	68	0	0	5	0	0	79	2	0	20	0	99	0	0	4	421	6	0	45	1	201	58	1225	89	0	0	16	0	0	0	550	3	0	48	2	32	3	0	0	41	96	0	0	7	0	0	0	2	0	0	129	1304	744	7	55	0	35	430	45	0	431	0	0	147	83	15	21	281	8	0	40	0	5713	0	167	264	0	82	134	3	0	6	30	0	0	9	0	0	12	13	0	8	2	389	0	184	2018	45	393	0	0	0	0	0	0	0	0	142	1104	0	997	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	176	0	0	0	0
Cah8-308-CE	0	9	8	0	0	0	378	12	27	42	0	51	0	0	0	9114	1347	3	14	0	82	0	0	0	0	0	0	0	0	779	325	0	10	63	0	3	0	41	0	0	0	0	11	39	0	0	13	0	0	89	0	0	8	0	57	0	0	0	391	5	0	56	5	379	53	2184	214	0	0	33	13	0	0	692	0	0	40	16	43	11	2	0	41	170	0	0	6	3	0	0	6	0	0	210	2007	1143	4	80	0	59	392	18	0	480	0	11	207	76	18	30	237	2	0	41	4	6290	0	137	360	2	109	116	0	0	2	37	0	8	8	0	0	3	8	0	7	0	327	0	138	1888	39	422	0	0	0	0	0	4	0	0	161	912	0	974	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0
run06-101	39	1397	33	6	0	178	3625	0	6	26	0	11	147	171	20	3389	164	15	7	0	42	0	0	19	0	29	0	0	0	75	104	0	0	65	0	11	0	95	0	9	17	0	6	144	0	2	25	0	0	478	20	0	22	0	10	29	0	0	5	0	0	0	181	2566	0	383	697	35	5	107	59	0	59	184	0	0	3	7	0	43	0	4	634	22	241	2	3	14	49	0	6	0	3	1345	883	648	0	139	0	226	76	82	48	134	30	125	392	12	36	42	103	3	0	0	0	1127	319	117	687	0	170	676	24	0	5	39	0	2	24	0	0	23	0	7	3	77	55	0	41	4	158	267	0	0	0	17	0	22	0	6	0	0	154	33	0	92	0	0	0	0	0	22	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	147
run06-102	322	31	126	99	0	17	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	4068	339	0	193	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	74	0	0	0	0	0	0	0	0	0	659	5	24	0	0	0	0	0	23	0	0	0	0	0	0	3	0	36	6525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	0	4714	0	0	2	0
run06-103	0	64	0	0	37	930	19	0	0	0	2	0	0	0	0	4301	0	0	0	0	12	41	24	32	0	0	106	0	244	61	20	0	0	0	0	0	470	0	0	0	0	26	0	0	271	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	30	414	4498	517	358	498	0	0	169	3	153	3	320	0	109	514	17	82	124	58	4	3191	3	0	0	0	0	303	0	23	0	106	0	54	2280	87	193	0	4	8	12	368	42	6	0	190	16	35	13	21	0	0	0	0	395	0	5	0	0	28	1583	0	0	3	6	4	0	94	0	0	0	0	3	23	0	0	0	0	0	0	114	0	575	15	222	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0
run06-104	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	2	4050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6488	0	0	0	0
run06-106	0	126	3	0	0	0	749	0	0	9	0	0	2	0	0	4707	66	0	0	10	20	0	0	0	0	0	0	0	0	318	0	0	0	20	0	0	0	0	112	0	2	0	8	4	0	0	4	0	0	14	0	0	0	0	28	0	0	0	0	0	0	116	70	1386	97	1120	617	0	0	162	28	0	0	112	0	0	47	112	523	46	0	0	298	0	34	0	18	0	175	0	0	0	24	0	395	395	5	45	0	91	5	5	0	0	0	4	154	196	24	13	16	0	0	0	3	3160	0	66	103	0	46	763	8	0	2	6	3	2	11	3	0	5	0	0	0	0	45	0	0	7	0	180	0	0	0	0	0	2	0	0	0	689	0	0	0	3	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
