"","alpha","lambda","auc","auc_czech","auc_no","auc_optimism_corrected","auc_optimism_corrected_CIL","auc_optimism_corrected_CIU","accuracy","accuracy_czech","accuracy_no","accuracy_optimism_corrected","accuracy_optimism_corrected_CIL","accuracy_optimism_corrected_CIU"
"pre_ltx vs healthy ASV terminal_ileum",0.2,0.0791098884818747,1,NA,1,0.939401157121745,0.906974206349206,0.968872549019608,1,NA,1,0.851958300320369,0.772614942528736,0.917884615384615
"pre_ltx vs post_ltx ASV terminal_ileum",0.4,0.0527525205287252,1,NA,1,0.948644033890181,0.905969991546915,0.979069368131868,1,NA,1,0.872628865387486,0.773549783549784,0.966408045977011
"post_ltx vs healthy ASV terminal_ileum",0.2,0.0438514916912479,1,NA,1,0.940578576516076,0.799254261363636,1,1,NA,1,0.863932844932845,0.756216931216931,0.95775
"pre_ltx vs healthy genus terminal_ileum",0.4,0.0164335785443427,1,NA,1,0.945400772974302,0.868253968253968,0.993684764309764,1,NA,1,0.853969679745542,0.738846153846154,0.964791666666667
"pre_ltx vs post_ltx genus terminal_ileum",1,0.0485380216609549,0.998792270531401,NA,0.998792270531401,0.968523729547876,0.904715236686391,1,0.951219512195122,NA,0.951219512195122,0.890688018877674,0.810052447552448,0.952708333333333
"post_ltx vs healthy genus terminal_ileum",0.2,0.191560678483751,1,NA,1,0.917777188089688,0.788932291666667,0.992288961038961,1,NA,1,0.837282051282051,0.650535714285714,0.95775
