"","alpha","lambda","auc","auc_czech","auc_no","auc_optimism_corrected","auc_optimism_corrected_CIL","auc_optimism_corrected_CIU","accuracy","accuracy_czech","accuracy_no","accuracy_optimism_corrected","accuracy_optimism_corrected_CIL","accuracy_optimism_corrected_CIU"
"pre_ltx vs healthy ASV terminal_ileum",0,4.42977358791762,1,1,NA,0.912517274392274,0.746022727272727,0.971981837606838,1,NA,NA,0.843651421042725,0.657608695652174,0.904761904761905
"pre_ltx vs post_ltx ASV terminal_ileum",0,23.6156255328092,0.948529411764706,0.948529411764706,NA,0.694868112113587,0.582447552447553,0.811014281326781,0.80952380952381,NA,NA,0.791935026992418,0.725061374795417,0.86080754352031
"post_ltx vs healthy ASV terminal_ileum",0.4,0.0393741852248363,1,1,NA,0.942064229147972,0.901052391677392,0.985660416284614,1,NA,NA,0.844008020300172,0.760244107744108,0.919158200290276
"pre_ltx vs healthy genus terminal_ileum",0.2,0.157967286978481,1,1,NA,0.936549729962556,0.798901098901099,1,1,NA,NA,0.835614554611964,0.673,0.956521739130435
"pre_ltx vs post_ltx genus terminal_ileum",0,4.86575395031362,0.948529411764706,0.948529411764706,NA,0.760260365100372,0.589296683046683,0.90796875,0.80952380952381,NA,NA,0.807483441021569,0.714285714285714,0.8953125
"post_ltx vs healthy genus terminal_ileum",0.4,0.0256391728094378,1,1,NA,0.960924465592024,0.888065872135994,0.997144607843137,1,NA,NA,0.898381645271593,0.801862745098039,0.979591836734694
