feature	Actinomyces	Bifidobacterium	Rothia	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Lactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	CAG.352	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Gordonibacter	f__Barnesiellaceae.g__uncultured	Tannerellaceae	Parasediminibacterium	Campylobacter	Gastranaerophilales	Dielma	Holdemania	Lacticaseibacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Lactococcus	RF39	f__Christensenellaceae.g__unassigned	Anaerostignum	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	X.Eubacterium._ruminantium_group	UCG.008	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerotruncus	Candidatus_Soleaferrea	Paludicola	f__Ruminococcaceae.g__unassigned	X.Clostridium._methylpentosum_group	f__Peptococcaceae.g__uncultured	X.Eubacterium._brachy_group	Allisonella	Anaeroglobus	Methylobacterium.Methylorubrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Janthinobacterium	Massilia	Aggregatibacter	Dyella	Pyramidobacter
4187.2.rerun.lib32	0	29	0	28	297	0	0	15	0	0	6437	334	35	0	59	0	0	0	0	0	362	358	26	0	0	36	0	4	0	0	20	0	220	0	0	0	4	0	6	53	168	4032	1019	684	847	12	341	202	0	0	342	0	127	58	62	257	152	98	99	18	0	0	36	0	323	0	0	47	0	1608	431	0	89	9	7	0	14	0	0	182	104	17	0	22	0	0	3951	0	30	175	0	1688	13	0	28	0	4	0	20	0	0	0	0	0	3	0	3	0	0	0	0	15	0	13627	2321	122	175	4	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4187.3.lib30	0	84	0	38	229	0	0	37	0	0	7462	664	60	0	169	0	0	0	0	0	806	660	109	0	0	28	0	20	0	0	6	0	175	0	4	0	18	0	38	28	103	1851	453	512	565	14	135	190	0	15	250	0	55	64	42	383	128	93	76	0	0	0	55	0	444	7	0	0	0	1275	405	0	81	16	0	18	109	0	0	428	247	33	22	107	0	0	2468	0	50	30	93	779	39	0	17	0	0	6	9	0	0	0	0	0	36	2	17	0	0	0	0	28	2	6719	1204	134	53	0	10	0	2	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	7	21	24	22	3	0	4	0
4187.4.lib30	5	21	0	9	177	0	0	27	0	0	5526	319	26	0	92	0	0	0	0	0	498	434	90	0	0	8	0	0	0	0	18	0	102	3	0	0	5	0	14	23	113	2212	409	407	393	9	133	163	0	14	273	5	57	31	31	248	95	81	38	5	0	0	30	0	349	11	0	32	0	983	342	3	49	26	3	13	22	4	9	236	142	60	10	20	0	0	2376	0	65	70	45	912	20	0	21	3	11	0	26	0	0	0	0	0	86	0	14	0	0	0	0	10	12	9273	1807	151	59	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	14	0	0	0	12	0	4	0	2	0	0	0
4188.2.rerun.lib32	9	91	0	0	26	22	0	0	0	115	2303	0	0	0	91	0	0	46	0	0	852	172	73	0	16	0	0	0	0	0	18	0	45	0	0	362	0	38	341	296	11	1544	107	150	231	3	287	48	0	10	50	28	14	49	0	29	8	0	416	2	0	0	76	0	49	8	12	0	571	1043	908	23	62	65	0	50	87	66	19	520	0	444	158	71	0	10	3474	44	147	66	1107	775	2	0	55	29	226	7	0	0	29	0	0	1546	0	0	3	0	5	0	0	51	11936	0	0	6	11	740	0	4	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	4	3	27	2	0	6	4	12	0	2	0	0	0	0	0	0
4188.3.lib30	0	49	0	0	14	5	0	0	0	119	7844	0	0	0	354	0	0	139	0	0	1439	900	122	0	68	0	0	0	0	0	15	0	14	0	0	415	0	61	704	1799	24	806	106	302	433	28	324	82	0	30	96	182	108	48	0	33	12	0	639	0	0	0	254	0	111	57	122	0	790	841	2608	40	151	75	0	81	90	114	12	787	0	1285	388	92	0	19	4098	74	168	22	2865	621	0	0	33	82	366	21	51	0	30	0	0	2759	11	0	4	0	9	0	0	91	12525	0	0	0	39	787	0	0	0	221	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	7	12	12	51	0	0	7	7	30	0	0	0	0	0	0	0	0
4190.2.lib30	4	0	2	0	0	0	0	0	0	103	5064	0	0	0	0	0	0	0	0	0	979	0	0	0	10	192	0	0	11	0	0	0	110	16	9	380	0	0	22	1104	226	3703	451	587	502	7	1741	206	0	0	516	102	461	311	260	229	6	68	879	33	0	0	464	0	336	72	0	787	0	940	1711	34	369	0	13	8	0	9	53	983	154	105	0	81	0	43	8309	0	830	16	622	2068	11	29	6	109	0	0	32	0	182	26	0	0	330	5	143	0	0	0	0	0	542	0	0	33	1	0	0	0	0	0	4	0	0	0	0	4	0	48	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
4191.2.lib29	8	85	10	8	0	0	23	0	0	0	7730	0	59	0	135	0	0	0	0	0	1032	903	118	0	83	0	48	0	0	10	184	110	192	17	0	10	0	60	137	122	9	1609	0	0	200	53	159	0	0	24	234	88	0	38	0	0	0	38	213	90	0	0	0	78	0	30	67	0	145	1587	736	24	22	0	80	120	128	123	0	923	8	0	0	8	0	34	1402	8	114	144	682	3000	28	271	27	0	309	0	56	0	211	2	0	0	358	0	226	0	13	0	0	221	0	6895	0	12	298	37	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	33	5	0	73	0	0	0	0	0	5	0	0	0	0	0	0	0
4191.3.lib29	0	95	0	25	0	0	45	0	0	0	14647	0	128	0	470	0	0	0	0	0	1532	1249	111	0	144	0	148	0	0	9	133	54	320	14	8	20	0	50	79	64	8	1921	0	0	134	100	118	0	0	10	336	76	0	47	0	0	0	3	320	63	0	0	0	92	0	0	70	0	139	1199	660	28	47	0	56	131	114	123	0	1051	7	0	0	15	0	23	2002	0	121	86	867	2521	15	429	0	0	294	0	55	0	173	0	0	0	299	0	198	0	3	0	0	269	0	7197	0	0	3	107	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	40	0	0	0	112	0	0	0	31	16	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0
4191.4.lib29	15	45	0	0	0	0	30	0	0	0	14101	0	88	0	414	0	0	0	0	0	901	1110	87	0	104	0	39	0	0	0	44	97	140	0	0	0	0	31	56	50	0	1042	0	0	108	55	102	0	0	40	278	78	0	25	0	0	0	18	263	43	0	0	0	33	0	21	16	0	96	870	439	0	13	0	25	175	64	151	0	799	0	0	0	10	0	16	1668	0	119	79	583	2370	10	321	0	0	196	0	21	0	106	0	0	0	158	0	203	0	0	0	0	112	0	7546	0	51	0	19	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	36	0	0	0	121	0	0	0	19	0	0	34	0	0	0	0	0	18	0	29	3	8	0	5	0
4192.2.rerun.lib32	20	0	56	0	0	28	2	0	0	0	6588	1687	0	0	28	0	0	0	0	0	863	134	0	0	0	21	0	63	48	0	0	0	1322	73	0	215	0	0	0	337	23	3720	0	430	259	84	19	0	0	10	224	32	20	112	420	21	3	64	178	0	0	39	128	0	129	184	18	43	0	643	4351	0	75	20	330	0	262	39	0	885	299	162	0	217	809	190	1100	18	132	269	0	2134	0	0	0	0	290	0	38	0	0	0	0	1468	0	0	168	0	0	0	154	0	0	0	0	122	46	12	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	18	0	0	0	0	0	2	62	39	0	0	0	13	0
4192.4.rerun.lib32	0	0	0	0	0	55	22	0	0	0	19495	3898	0	0	156	0	0	0	0	0	1463	355	0	0	0	19	0	792	59	0	0	0	968	194	0	221	0	0	0	174	126	3821	0	1439	1024	14	209	0	0	0	232	108	42	103	642	169	0	79	16	0	0	110	258	0	91	306	72	235	0	1533	8269	0	139	5	212	0	606	28	0	971	366	26	0	172	983	0	1413	11	149	152	116	2105	0	0	0	0	70	0	55	0	0	0	0	2190	0	0	0	0	0	0	221	0	0	0	0	251	55	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	134	0	137	0	0	0
4194.2.lib30	5	186	0	0	157	0	5	0	0	14	11435	753	0	38	442	0	0	0	0	0	249	482	184	0	63	0	21	0	0	7	0	0	117	0	21	0	0	0	0	0	1078	3472	0	0	0	114	0	0	0	27	1269	40	0	0	0	280	229	0	93	27	4	0	0	0	0	0	0	0	288	1535	95	0	31	17	54	113	0	21	0	3	0	0	0	115	0	0	3045	0	81	0	0	759	18	0	4	0	0	0	0	0	1949	0	0	0	139	9	122	0	4	0	18	851	3903	0	0	3	22	0	0	0	0	0	0	0	0	34	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
4194.3.rerun.lib32	6	195	12	0	252	0	5	0	0	0	9906	1068	0	27	352	0	0	28	0	0	161	222	128	0	47	0	7	0	0	0	0	0	69	0	0	0	0	0	0	0	594	2803	0	0	0	133	0	0	0	25	1191	41	0	0	0	249	202	0	85	48	0	0	0	0	0	0	0	0	284	1387	90	0	16	0	22	97	0	9	0	0	0	0	0	38	0	0	4087	0	131	0	0	699	0	0	0	0	0	0	0	0	920	0	0	0	83	0	152	0	0	0	53	626	4583	0	0	0	12	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0
