feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Haemophilus	Pseudomonas	Akkermansia	Enterorhabdus	Gordonibacter	Muribaculaceae	Prevotella	Campylobacter	Lacticaseibacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	RF39	f__Christensenellaceae.g__uncultured	Anaerofustis	Eubacterium	Anaerostignum	Frisingicoccus	Lachnoanaerobaculum	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	UCG.009	X.Eubacterium._brachy_group	Anaerococcus	Finegoldia	Parvimonas	Peptoniphilus	Clostridioides	Peptostreptococcus	Veillonellaceae	o__Veillonellales.Selenomonadales.f__unassigned.g__unassigned	Methylobacterium.Methylorubrum	Morganella	Proteus	Aggregatibacter	o__Enterobacterales.f__unassigned.g__unassigned
4052.4.lib29	0	55	0	21	7	0	0	0	27	0	0	0	4284	0	0	0	9	0	0	15	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	13	0	0	236	0	0	2	0	0	0	0	0	76	30	355	0	136	653	0	32	0	0	0	231	65	0	33	0	0	191	4	38	125	0	10	17	51	0	0	34	11	631	391	0	27	0	0	0	3	0	0	0	155	0	0	43	0	0	0	1458	18	46	30	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	6	0	14	529	0	0	0	0	0	7075	0	0	0	70	10	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	81	0	9	0	0	0	0
4055.2.lib29	0	487	0	0	0	57	159	0	0	13	11	73	3080	50	73	78	92	144	395	2292	670	95	104	110	871	0	0	19	0	80	3	0	0	0	0	23	0	0	3	0	0	0	711	97	187	88	0	45	37	1414	223	362	701	0	337	16	43	4	118	16	20	73	19	0	48	70	133	418	0	0	81	113	3	13	15	0	1277	1160	0	94	47	0	151	133	34	12	1457	90	415	66	0	2	3	2	4617	69	27	14	41	1256	0	83	2	140	158	96	30	66	35	0	0	0	0	95	0	3	696	0	2	0	0	0	0	0	135	8349	0	73	0	15	0	0	0	0	651	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4055.3.lib29	0	257	0	0	0	19	65	0	0	2	0	31	1211	26	22	35	19	49	171	970	302	43	54	59	360	0	0	13	0	48	0	0	0	0	0	7	0	0	16	0	0	0	409	42	102	43	0	36	25	858	172	219	451	0	193	6	33	0	61	0	13	33	9	0	27	30	70	244	0	0	44	55	0	2	11	0	775	646	0	50	23	7	59	63	10	7	756	35	279	25	0	0	0	0	3048	44	16	9	30	730	0	63	2	39	88	57	12	41	18	0	0	0	0	46	0	5	358	0	0	0	0	0	0	0	50	24746	0	18	0	3	0	0	2	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4055.4.lib29	0	214	0	0	0	12	45	0	0	5	0	29	1130	19	23	17	10	48	214	949	225	31	48	81	350	0	0	13	0	45	0	0	0	0	0	8	0	0	10	0	2	0	508	79	153	48	0	28	19	776	192	176	477	0	286	13	41	0	73	5	24	35	19	0	35	46	122	443	0	0	64	36	0	8	10	2	1029	745	4	49	17	0	66	78	0	0	813	41	291	48	0	0	0	2	3373	57	8	17	25	782	0	62	0	81	111	63	20	48	26	0	0	2	0	42	0	5	377	0	5	0	0	0	0	0	65	6400	0	35	0	4	0	0	0	0	242	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4059.2.lib29	11	14	0	0	0	0	0	0	39	13	15	0	8051	13	0	0	0	0	0	0	27	66	0	23	0	0	0	86	0	0	0	0	0	0	0	12	0	0	185	0	0	0	0	0	0	0	0	28	48	846	12	41	1296	11	60	21	0	11	354	73	19	41	0	0	420	0	35	203	0	25	0	148	0	0	27	237	1649	344	0	36	0	58	0	12	0	0	54	125	0	0	9	8	0	0	3213	3	65	16	0	1032	24	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	16	0	5	1225	0	0	0	0	0	8716	150	38	0	160	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	40	0	0	0	136	0	0	0	0	0	0
4059.3.lib29	0	381	0	0	0	33	87	0	0	0	6	60	1717	31	35	36	41	88	674	2467	236	33	77	65	421	0	0	10	0	28	0	0	0	0	0	20	0	0	6	0	0	0	693	157	167	49	1	28	39	966	266	333	466	0	332	22	57	4	61	13	19	39	28	0	40	85	90	552	0	0	51	69	0	0	23	0	1305	1000	4	68	37	0	88	118	3	6	947	38	350	47	0	0	0	3	3752	52	15	15	32	733	0	80	0	92	132	71	18	83	29	0	0	5	0	56	0	10	665	0	0	0	0	2	0	4	75	7387	0	36	0	5	0	0	18	0	406	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4061.2.lib29	0	15	0	0	0	0	0	0	50	0	0	0	7193	0	0	0	0	0	0	0	50	332	0	0	0	0	112	0	0	0	0	0	0	24	0	37	0	0	240	38	33	0	0	0	0	0	1192	0	7	46	0	0	56	58	0	0	0	530	1181	0	0	0	0	0	567	43	0	83	0	0	0	0	0	0	0	3274	4819	479	0	112	0	10	24	0	0	0	10	0	0	0	9	3	0	0	305	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	301	22	0	0	0	112	0	7381	495	0	0	57	0	0	0	0	0	0	0	0	3	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
4061.3.lib29	0	31	0	0	0	0	0	0	58	0	0	0	10166	0	0	0	0	0	0	0	125	450	0	0	0	0	47	0	0	0	0	0	0	20	0	43	0	0	133	35	25	0	0	0	0	0	290	0	10	110	0	0	25	268	0	0	0	1111	3957	0	0	0	0	0	590	168	0	382	8	0	0	0	0	0	0	1688	3899	1544	0	113	2	50	89	0	9	0	23	0	0	0	18	16	7	0	434	0	102	0	0	0	4	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	754	13	0	0	0	174	0	6074	539	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	6	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0
4061.4.lib29	0	21	0	0	0	0	0	0	108	0	0	0	18143	0	0	0	0	0	0	0	72	810	0	0	0	0	28	0	0	0	0	0	0	18	0	0	0	0	107	0	0	3	0	0	0	0	73	0	15	121	0	0	22	437	0	0	0	1703	6624	0	0	0	17	0	448	165	0	438	15	0	0	0	0	0	0	1323	3301	1521	0	153	5	55	96	0	0	0	24	0	0	0	28	10	9	0	354	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	610	22	0	0	0	169	0	7271	355	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	8	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0
4062.2.lib29	0	126	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	22	0	0	0	0	0	0	0	0	0	56	4	0	0	85	0	0	0	0	190	306	11650	0	1854	905	0	7756	0	0	32	1474	69	70	0	275	630	257	0	191	3265	142	120	301	325	11	3	5	3898	550	1456	0	183	100	76	9	5	17	24	0	1371	61	0	19	0	0	0	17731	164	127	0	0	3334	62	0	22	243	0	82	0	0	0	0	0	0	0	0	0	0	113	0	8	0	0	0	0	0	1136	8989	0	11	0	14	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0
4062.3.lib29	0	65	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	77	0	0	0	0	131	148	6708	0	1049	636	0	6773	0	0	15	1175	22	18	0	332	280	177	0	140	2040	137	95	175	169	7	0	0	3284	448	1056	0	110	93	97	0	0	10	25	0	1116	22	0	14	0	2	0	15893	169	135	0	0	2698	29	0	18	221	0	42	0	5	0	0	0	0	0	0	0	0	112	0	13	0	0	0	0	0	688	1971	0	3	0	47	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	51	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
4062.4.lib29	0	44	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	71	0	0	0	0	131	134	5767	0	759	380	0	3675	0	0	18	886	16	58	0	324	148	80	5	94	971	135	69	105	130	0	0	6	1906	283	596	0	143	72	86	7	7	13	19	0	547	18	0	12	0	3	9	8552	78	64	0	0	1858	14	0	12	98	0	25	0	8	0	0	0	0	0	0	0	0	77	2	8	0	0	0	0	0	270	904	0	0	0	15	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
4069.2.lib29	25	11	16	26	13	0	0	0	0	0	0	0	6486	0	0	0	0	0	4	0	186	166	0	0	0	0	16	0	0	0	7	0	0	0	0	11	0	0	9673	44	0	10	0	0	0	0	0	196	136	4587	138	328	405	0	1367	0	0	0	503	254	76	149	0	430	105	0	41	6746	0	29	128	559	20	0	0	0	17	1503	13	2	0	6	0	0	0	0	0	190	0	0	33	0	0	0	5972	0	12	0	70	3860	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	5	0	863	0	0	310	0	0	0	0	0	691	0	205	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0
4069.3.lib29	8	38	0	42	0	0	0	0	0	0	0	0	9591	0	0	0	0	0	0	0	494	401	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	6951	32	0	72	0	0	0	0	16	267	536	8059	193	1187	978	0	3149	32	0	0	1153	387	341	614	0	610	220	0	201	5347	0	28	104	1912	79	0	0	0	0	3145	54	0	0	0	0	0	0	0	0	460	0	0	54	0	0	0	9178	0	48	0	185	5000	0	0	0	0	0	93	0	0	0	0	0	14	0	0	0	0	18	0	1241	0	0	723	0	0	0	95	0	691	0	222	37	0	0	0	0	0	6	0	102	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0
4069.4.lib29	15	32	11	72	0	0	0	0	0	0	0	0	7069	26	0	0	0	0	9	0	552	285	0	0	0	0	12	0	0	0	0	0	58	3	0	23	0	0	3734	23	0	0	0	0	0	0	23	274	353	6501	232	812	771	0	2425	30	0	4	840	254	222	319	0	585	260	0	162	4686	0	41	103	1412	51	0	0	0	11	2782	38	0	0	7	0	0	18	0	0	433	0	0	83	0	0	0	8261	0	46	0	163	3805	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	44	0	852	0	0	749	0	0	0	13	0	698	0	74	6	0	0	0	0	0	15	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
4074.2.lib29	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0	168	2	0	0	0	0	0	0	9	0	0	1052	0	0	142	0	758	0	0	0	14	125	0	8	0	0	0	0	0	359	0	0	11	0	0	0	0	256	1280	100	0	0	5	13	0	0	0	2	0	0	0	0	0	0	0	0	1950	163	12	3	0	0	8	0	0	0	0	0	0	0	0	0	115	0	0	142	0	0	0	0	236	3	0	0	0	0	0	2918	2	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4074.3.lib29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	44	0	17	0	0	101	0	0	0	0	0	0	0	11	0	6	4278	0	5	718	0	2508	0	0	0	41	655	0	15	0	0	0	0	0	1595	0	0	98	0	4	0	0	639	6089	412	0	0	10	57	4	0	0	23	0	0	0	0	0	0	0	0	7664	694	79	15	9	0	12	0	0	0	0	0	0	0	0	0	924	0	0	696	0	0	0	0	170	0	0	0	0	0	0	10023	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4074.4.lib29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	92	0	52	0	0	1027	13	0	0	0	0	0	0	13	0	12	8704	0	4	1222	0	3047	0	0	0	80	738	0	39	0	0	0	0	0	4806	0	3	203	0	0	0	0	848	7712	820	0	0	0	76	26	0	0	0	0	0	0	0	0	0	0	0	14321	868	117	13	19	0	8	0	0	0	0	0	0	0	0	0	2561	0	0	618	0	0	0	0	542	12	0	0	0	0	0	25253	37	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	37	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
4078.2.lib29	0	50	0	0	0	0	202	0	0	37	10	0	8255	0	0	0	0	0	0	0	21	5	0	0	0	0	0	117	0	0	0	0	0	0	14	179	0	0	98	0	0	0	0	0	0	0	0	0	0	4649	0	117	547	0	19	0	0	0	110	0	4	0	0	0	48	130	57	7403	0	0	14	0	78	0	115	2101	45	367	0	49	68	18	0	0	0	0	0	0	0	0	0	0	0	0	369	0	14	0	0	737	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	162	22697	15	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
