feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cyanobacteria	Group	post_ltx	-2.14632658314308	0.560507693108166	207	67	0.000242965016929106	0.00194372013543285
Desulfobacterota	Group	post_ltx	-2.45811366882624	0.687432559419684	207	120	0.000570352941368038	0.00228141176547215
Firmicutes	Group	post_ltx	-0.335720806038128	0.129143180083961	207	207	0.010920266194534	0.0291207098520906
Actinobacteriota	Group	post_ltx	-0.987925561321322	0.469093465813722	207	201	0.0380712584143766	0.0609140134630025
Proteobacteria	Group	post_ltx	0.774044287126566	0.355286329417676	207	207	0.0320695563521791	0.0609140134630025
Bacteroidota	Group	post_ltx	-0.921844228749504	0.545868154305671	207	200	0.094848761143441	0.126465014857921
Verrucomicrobiota	Group	post_ltx	-1.39213855525506	0.941918108425058	207	99	0.143046643976284	0.163481878830039
Fusobacteriota	Group	post_ltx	0.553647208864184	0.716761195709708	207	82	0.441910641407218	0.441910641407218
