feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
Cah8-300-IL	2817	8140	64	148	14734	0	6	778	23	0
Cah8-301-IL	458	6915	21	26	11804	4	2	726	0	0
Cah8-302-IL	257	7664	0	19	10672	0	5	3966	7	0
Cah8-303-IL	1584	3738	0	28	14007	0	0	263	68	0
Cah8-305-IL	2233	8706	0	11	12832	0	0	26	0	0
Cah8-307-IL	599	9054	0	103	12674	3620	0	2200	303	0
Cah8-308-IL	239	6249	4	44	11188	0	0	1392	0	0
Cah8-309-IL	1985	4600	0	0	13914	0	0	413	0	0
run02-49	2713	4611	0	16	17689	66	4	1516	0	5
run02-50	1446	2652	172	85	14637	0	0	808	0	0
run02-51	1562	5732	0	3	12864	0	0	167	0	0
run02-52	901	3819	12	7	8624	9	0	866	1573	0
run02-54	2475	6665	21	401	13584	7	0	2221	0	3
run02-55	1368	5685	117	327	13107	5	0	477	57	0
run02-56	1114	3868	0	0	8618	0	0	279	0	3
run02-57	773	2	0	0	5604	0	0	11632	0	0
run02-58	1950	6030	122	231	14133	18	2	1918	0	6
run02-59	3557	3800	0	0	12301	1506	48	1328	0	6
run02-60	2940	3013	0	0	16198	24	0	643	0	0
run02-61	1499	8193	133	436	14347	0	0	1854	30	0
run02-62	538	4747	0	63	12148	25	0	891	586	0
run02-63	766	5205	15	26	11755	0	0	161	0	0
run02-64	5984	2688	0	351	8740	2	15	1697	1484	8
run02-65	2449	3603	0	94	8118	7	0	352	5	3
run02-66	2237	4957	0	12	14290	0	0	2407	0	0
run02-67	1797	7676	0	163	16878	47	4	1307	0	0
run02-68	3267	4449	0	85	10838	0	0	1046	0	0
run02-69	465	4678	596	154	12480	2	0	568	3351	0
run02-70	1142	4295	0	119	11175	504	0	544	0	0
run02-71	408	1236	0	0	8735	100	0	5957	34	0
run02-72	2435	3266	0	41	10460	3	0	580	0	2
run02-73	115	5400	0	34	12454	2	0	1993	0	3
run02-74	689	500	0	0	7869	0	0	4689	0	2
run02-76	1163	4305	0	96	9906	21	2	957	0	7
run02-77	4486	4184	0	60	13616	0	0	2261	12	0
run02-78	876	1251	0	0	12882	591	39	4403	0	24
run02-79	1030	6518	0	8	8090	12	0	944	0	0
run02-80	2501	4066	0	0	11781	2	4	409	0	0
run02-81	727	247	0	0	6914	0	13	6138	0	0
run02-82	2866	5212	0	44	11731	0	5	494	72	0
run02-83	379	4751	2	14	9154	12	0	1747	0	0
run02-84	1225	7101	0	0	13209	0	0	594	0	0
run02-85	1673	5374	0	8	10400	0	0	935	0	0
run02-86	2389	3389	0	33	8227	0	0	559	0	0
run02-87	1106	4951	0	0	7971	1209	0	259	0	0
run02-88	2038	4333	0	0	10142	0	0	313	0	0
run02-89	1798	2745	0	22	8609	0	0	386	2	0
run02-90	1334	5434	0	25	11425	0	0	364	105	0
run02-91	1005	5131	0	0	3066	1235	0	7829	2400	0
run02-92	779	1820	71	36	8966	8	35	3149	9	2
run03-49	486	5642	0	0	18094	0	0	174	0	0
run03-50	938	3204	0	6	11469	668	15	1406	0	5
run03-51	884	679	0	0	14067	0	0	1900	0	0
run03-52	1016	5746	0	118	9005	109	2	1992	0	56
run03-53	3568	1615	0	0	20285	0	7	411	0	0
run03-54	2253	9668	0	143	15468	306	19	786	0	264
run03-57	1337	8121	0	0	16009	0	0	2465	35	0
run03-58	2318	4641	9	24	12819	0	0	749	296	0
run03-59	937	9411	0	22	19583	31	11	2015	13	0
run03-60	27	2171	0	10	19830	0	0	4900	0	0
run03-61	288	0	0	0	21598	81	0	2129	8849	15
run03-62	1883	2492	14	35	10100	0	4	293	0	0
run03-63	1001	3974	0	0	14029	0	0	636	0	0
run03-64	2618	3639	0	64	21812	12	0	2863	0	0
run03-66	920	5317	108	419	10392	2781	0	1692	111	0
run03-67	3750	11511	188	52	17833	0	0	511	46	0
run03-68	1131	5376	333	132	13548	0	0	1522	2698	0
run03-69	1090	11268	0	79	13836	0	0	1941	17	0
run03-70	2617	11392	0	0	14662	206	0	2325	0	0
run03-71	4118	8107	0	36	15197	9	0	1314	0	5
run03-72	5328	4302	0	61	13259	19	0	2545	0	0
run03-73	1683	6454	0	0	10779	3	0	2572	0	0
run03-74	1626	978	44	41	12010	955	382	1968	0	41
run03-75	5886	5850	0	0	16354	0	0	1087	0	0
run03-76	1143	5033	37	143	12744	302	6	685	0	0
run03-77	415	7299	0	0	8825	6	2	1645	0	0
run03-78	1356	8453	0	8	14511	3	24	713	0	0
run03-79	871	3	0	0	11654	0	3	7184	0	0
run03-80	584	7886	0	1196	13152	23	0	1556	0	0
run03-82	3330	10182	2	6	12265	2	0	1283	171	0
run03-83	4567	3926	0	0	7827	13	0	341	0	12
run03-84	2302	4501	0	150	15005	127	6	1072	8	169
run03-85	2963	1553	0	0	5855	0	0	314	0	0
run03-86	6726	47	0	0	6667	0	3	29	0	0
run03-87	621	3535	0	32	6276	0	0	1286	0	0
run03-88	0	5925	0	209	6757	0	0	438	2	0
run03-89	2473	6291	0	186	14042	0	0	1891	8	0
run03-90	827	5866	0	11	14429	4	0	470	0	0
run03-92	1214	3036	0	111	10131	124	0	629	20	76
run04-52	3057	2918	0	77	10874	17	0	170	0	14
run04-53	153	7165	0	81	19132	43	5	783	0	8
run04-54	3145	8436	0	1628	21202	0	0	1379	0	0
run04-67	89	900	0	0	28278	0	0	917	0	0
run04-68	1743	3277	0	0	19270	6	0	1197	0	5
run04-69	470	9066	0	0	30856	0	0	374	0	0
run04-70	4694	7714	0	0	19200	265	0	706	0	0
run04-71	2733	7442	56	95	22445	16	16	907	132	2
run04-72	6437	3121	113	0	19762	0	0	1250	0	0
run04-74	655	2164	0	201	6603	5152	3	4452	589	0
run04-75	461	6599	0	0	21715	1615	8	4038	0	4
run04-76	2593	3483	18	194	15530	16	8	292	0	0
run04-77	826	1157	0	10	8077	514	82	979	0	0
run04-78	1744	5513	0	0	22586	15	0	1491	67	10
run05-64	73	4686	283	0	25679	0	0	298	0	0
run05-73	423	5640	150	546	12970	4100	0	2233	101	0
run05-75	1686	3390	0	120	13097	2	2	1153	5	0
run06-90	1444	2877	0	27	8303	0	0	106	0	0
run06-93	1021	2358	6	30	8168	0	0	344	6	0
run06-94	413	1756	0	2	5921	3	5	2011	55	0
run06-95	1757	2664	0	21	6068	5	11	286	4	0
run06-96	1552	2838	0	8	8671	24	9	2491	0	0
run07-Cah7-55	555	4355	0	11	15783	0	8	2367	0	0
run07-Cah7-56	260	13297	3	47	6975	0	0	331	51	0
run07-Cah7-59	1336	6136	0	480	13448	0	0	912	6	0
run07-Cah7-60	1232	4465	0	26	20358	0	0	532	0	0
run07-Cah7-61	1102	5217	60	137	12356	0	5	1738	0	0
run07-Cah7-62	300	6181	0	61	10801	0	0	671	0	0
run07-Cah7-63	694	6607	0	18	9465	0	11	71	98	0
run07-Cah7-66	1167	4138	80	41	6982	58	5	480	218	0
run07-Cah7-69	553	3974	139	103	14332	0	0	459	696	0
run07-Cah7-72	396	3329	0	55	17000	0	0	368	1967	0
run07-Cah7-73	1869	5010	41	228	10259	4	0	312	152	0
run07-Cah7-75	2289	6178	34	139	14848	15	23	1224	0	0
run07-Cah7-77	2637	2785	130	0	10601	0	0	341	6	0
run07-Cah7-78	1403	9860	0	35	10191	0	0	1981	83	0
run07-Cah7-79	1018	7458	0	5	11901	3	0	600	0	0
run07-Cah7-80	98	402	0	4	1413	0	0	15800	0	0
run07-Cah7-81	1672	6213	0	12	11418	0	18	557	0	0
run07-Cah7-82	1585	3516	0	23	12537	2	5	479	0	0
run07-Cah7-83	2050	4289	0	14	12747	4	26	480	0	12
run07-Cah7-84	1797	6328	19	157	15496	0	4	745	284	0
run07-Cah7-85	3555	2201	0	4	13259	0	0	199	0	0
run07-Cah7-86	2966	2758	0	40	11965	0	0	128	0	0
run07-Cah7-87	198	5036	7	19	14819	0	0	185	42	0
run07-Cah7-88	566	4681	591	140	9835	0	0	905	13	0
run04-51	697	3777	0	0	14026	0	0	1074	0	0
run03-91	1891	2006	12	0	12091	5	0	572	0	0
run02-75	923	0	0	0	10107	4	0	5949	0	0
run06-81	252	1091	0	2	12944	3	0	1069	249	0
4002.I.1.lib30	236	3576	607	212	21918	0	0	1070	0	0
4004.I.1.lib30	184	6623	0	0	13356	49	0	1985	0	0
4012.1.rerun.lib32	207	6351	141	357	16075	0	0	875	5952	0
4021.1.rerun.lib32	71	348	0	0	16224	0	6	578	0	7
4029.1.rerun.lib32	895	1146	0	0	1390	0	0	10962	0	0
4031.1.lib29	199	7546	0	0	20335	2	0	482	0	6
4032.1.lib29	280	9809	0	0	16906	0	0	259	0	2
4038.1.lib29	41	8429	142	96	12860	5	0	3438	667	0
4039.1.lib29	65	4234	0	0	7425	2	0	9606	0	0
4045.1.lib29	718	10481	0	32	15073	122	0	4927	505	0
4047.1.lib29	480	7187	0	119	10218	3	0	3104	81	0
4050.1.lib29	263	15576	0	426	11743	5	0	1626	6004	0
4052.1.lib29	821	8709	42	707	13897	0	0	3339	5180	0
4055.1.lib29	576	6205	17	873	11827	0	0	3106	1871	0
4059.1.lib29	52	2180	0	0	5018	662	0	3819	46	76
4069.1.lib29	221	8512	0	0	34960	0	0	5254	0	4
4074.1.lib29	0	8	0	0	18063	0	0	5539	0	0
4078.1.lib29	451	10923	0	0	18608	0	0	19367	0	0
4082.1.lib29	54	3863	0	14	14846	3862	0	554	237	0
4084.1.lib29	267	6478	0	465	21881	0	2	3742	16	0
4094.1.lib29	393	10030	0	0	30451	0	0	10	0	0
4095.1.lib29	287	7631	0	0	19326	3	0	4635	3	0
4106.1.lib29	31	5092	0	46	10733	0	0	3214	0	0
4108.1.lib29	26	1959	0	35	6805	0	0	1725	0	0
4109.1.lib29	900	9680	0	0	24635	68	0	6482	0	0
4115.1.lib29	6	7286	0	3	9360	1246	0	33087	0	0
4122.1.lib29	36	10897	0	111	17903	5104	0	2627	0	0
4134.1.lib29	1183	17459	0	0	22054	0	0	3446	0	0
4135.1.lib29	310	10686	0	0	26214	0	0	1191	0	0
4136.1.lib29	6	6630	0	0	22748	0	0	3257	0	0
4143.1.lib29	178	2307	0	102	6704	0	0	3799	13	0
4153.1.lib29	309	2510	0	0	20975	103	12	5292	59	0
4160.1.lib29	10	15066	0	0	21124	0	0	195	0	0
4161.1.lib29	105	1418	0	0	30639	85	0	21915	0	0
4191.1.lib29	299	14591	0	117	22321	7	0	11615	72	4
4195.1.lib29	98	2	0	0	10607	0	0	2032	0	0
M001.TI	302	6867	244	0	15361	0	0	2011	0	0
M002.TI	238	10426	0	716	14883	22280	0	1469	22	0
M003.TI	25	3532	32	69	6997	0	0	5796	0	0
M004.TI	414	3121	5	74	7492	0	0	222	0	7
M005.TI	98	4887	4	287	9596	0	0	733	2151	0
M006.TI	435	4031	0	47	18475	0	16	2444	0	0
M007.TI	5	3665	0	43	6683	2706	0	762	0	0
M008.TI	115	14892	0	173	34758	22	0	10107	2095	0
M010.TI	119	4745	8	8	14652	0	0	3900	10	0
M011.TI	78	3382	48	12	17239	0	0	374	32	0
M012.TI	357	9821	73	57	27840	15	0	6328	27	0
M013.TI	573	3379	3	10	35599	0	0	530	8	0
M014.TI	368	4990	0	28	16164	0	0	871	0	0
M015.TI	324	4198	81	203	20792	0	0	654	54	0
M016.TI	52	4201	21	45	13760	4	4	1108	19	0
M017.TI	1536	8590	639	101	27980	0	6	670	1425	0
M022.TI	1141	14141	0	76	37275	13	0	2636	0	0
M023.TI	355	5380	73	8	28263	0	0	2329	0	0
P301TI1R.lib20	513	5766	67	85	8670	2	0	963	142	0
P302TI1R.lib21	596	2497	362	77	13544	0	0	715	3	0
P304TI1R.lib21	643	3395	0	31	29244	0	0	2131	0	15
P305TI1R.lib20	77	8363	0	26	5595	0	2	2101	0	0
P306TI1R.lib21	189	11521	19	193	18340	278	0	1836	22	0
P307TI1R.lib21	561	7081	91	68	23404	6	0	2833	29	0
P308TI1R.lib20	86	3166	28	29	10152	0	0	292	2131	0
P310TI1R.lib21	511	8894	136	4	19852	0	0	4084	93	0
P314TI1R.lib21	1144	8890	211	9	21821	0	0	3189	0	0
P318TI1R.lib21	166	4177	78	32	13472	0	5	592	0	0
P320TI1R.lib20	91	4612	183	354	8079	0	0	566	147	0
P321TI1R.lib21	63	1082	0	24	15836	0	0	265	31	0
P323TI1R.lib20	1035	2153	25	38	16949	0	0	539	55	0
P325TI1R.lib20	580	4757	18	105	13665	0	0	795	564	0
P326TI1R.lib20	1524	3910	15	16	12897	2	0	1255	0	0
P329TI1R.lib20	33	2892	0	6	7048	2	0	690	6	0
P333TI1R.lib20	129	2412	49	19	10540	14	2	214	8	0
P334TI1R.lib20	441	1452	0	18	11798	0	0	629	0	0
