feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f__Enterobacteriaceae.g__unassigned	Group	post_ltx	2.91075998364939	0.71305427939878	349	105	7.7639400237184e-05	0.0108695160332058
Escherichia.Shigella	Group	post_ltx	3.39721814217273	0.898540677428533	349	258	0.000237991126461201	0.0166593788522841
