feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
run03-180	2573	11061	0	116	21824	2	821	0
run03-181	4092	2799	7	23	15946	0	1007	0
run03-183	1810	5930	0	211	14015	72	966	0
run03-184	6429	7334	0	0	13688	0	952	0
run03-185	2732	8093	0	0	15238	0	607	0
run03-187	45	11333	0	668	20980	0	1095	0
run03-97	244	3558	0	0	9745	0	166	0
run03-98	1074	3619	0	0	13423	715	1843	0
run04-100	3374	5505	0	1456	14842	0	1412	0
run04-101	123	819	0	3	33880	0	695	0
run04-102	71	9622	0	0	2887	741	13950	5547
run04-103	3868	4948	280	163	21223	0	5556	0
run04-104	1745	4234	0	0	20643	0	448	0
run04-105	395	6562	0	0	25666	0	82	0
run04-106	3927	5336	0	0	19627	234	918	0
run04-107	2688	6885	59	123	21710	0	964	130
run04-108	10296	3102	173	0	22181	0	2220	8
run04-109	1162	2541	0	354	8937	8380	9182	933
run04-110	225	5387	0	0	14553	1740	2967	0
run04-111	3763	2659	21	552	15166	8	221	0
run04-112	3347	2524	0	71	17354	0	313	66
run04-113	2968	3816	0	69	21402	226	364	0
run04-114	1859	5013	0	0	20347	7	2117	44
run04-145	2517	9324	0	0	18852	0	1097	149
run04-147	1492	921	0	0	6162	37	3501	15
run04-148	950	4721	0	0	13515	0	1569	0
run04-149	3927	4414	0	161	12929	23	326	0
run04-150	83	5522	2	77	20589	9	750	0
run04-151	3521	10280	0	1672	25588	0	1231	0
run04-152	259	1011	0	0	24083	0	456	0
run04-153	4669	5130	0	32	22535	43	742	0
run04-154	2368	9454	4	33	22202	0	387	169
run04-155	476	5099	3	0	3424	530	7011	5567
run04-156	3046	4876	132	166	16872	0	3326	0
run04-159	2583	3910	2	25	21224	0	532	0
run04-160	724	4283	0	15	15031	0	102	12
run04-161	4211	6225	0	5	14902	153	475	0
run04-162	2022	8571	22	79	20575	0	549	91
run04-163	5242	3940	66	0	16116	184	3244	1713
run04-164	2266	3612	87	150	12526	0	2428	0
run04-165	847	3217	0	297	10223	6582	4448	1073
run04-166	169	2585	0	0	11435	556	2382	0
run04-167	2750	6106	18	353	26497	4	408	0
run04-168	2883	4884	0	56	25801	0	304	82
run04-169	1869	4926	0	84	27766	1045	572	0
run04-170	1369	5515	0	0	16495	15	1849	42
run04-97	1354	6472	0	0	19433	0	2464	0
run04-98	3137	4878	0	155	13291	6	879	0
run04-99	169	6952	0	132	14470	35	905	0
run05-111	74	3745	298	0	18106	0	1652	0
run05-127	495	353	0	0	6902	5	21573	0
run05-134	1992	4947	29	5	15196	6	1127	1927
run05-162	96	3861	210	0	27497	0	274	0
run05-87	88	1045	0	0	12639	58	1333	0
run05-88	146	2029	0	10	7130	7	2121	0
run06-128	577	3273	0	0	5239	0	2530	5
run06-129	1609	949	0	64	9961	284	605	76
run06-130	2630	3096	0	83	11847	0	146	0
run06-131	1280	2935	0	39	8548	7	1421	37
run06-132	2561	3963	13	19	18650	0	720	5
run06-133	650	2512	0	28	10341	11	2223	102
run06-134	2431	2676	0	19	7601	0	305	6
run06-135	1611	1858	0	13	10452	0	1783	0
run06-181	1307	2221	0	154	11578	27	506	158
run06-182	1610	3022	0	46	8391	0	129	2
run06-183	479	5158	0	0	4869	0	4642	0
run06-184	728	2899	0	77	5406	2	1405	29
run06-186	1389	4478	18	21	10711	0	530	10
run06-187	448	2874	0	18	7332	0	1698	86
run06-188	2104	4293	0	46	7361	0	498	7
run06-189	1811	2697	0	25	10064	0	1700	0
run07-Cah7-101	1963	6353	0	30	6744	0	183	0
run07-Cah7-102	433	4427	0	25	14686	0	2297	0
run07-Cah7-103	221	5435	0	0	8194	0	59	0
run07-Cah7-106	1054	5219	0	232	11178	0	785	10
run07-Cah7-107	1521	4978	0	16	15868	0	230	0
run07-Cah7-109	262	8074	0	71	11501	0	749	0
run07-Cah7-110	335	6668	0	31	10610	0	135	101
run07-Cah7-113	1443	7294	152	76	9896	131	788	216
run07-Cah7-114	753	10103	150	58	10940	0	921	124
