"","alpha","lambda","auc","auc_czech","auc_no","auc_optimism_corrected","auc_optimism_corrected_CIL","auc_optimism_corrected_CIU","accuracy","accuracy_czech","accuracy_no","accuracy_optimism_corrected","accuracy_optimism_corrected_CIL","accuracy_optimism_corrected_CIU"
"pre_ltx vs healthy ASV terminal_ileum",0.4,0.0256910008899671,1,1,1,0.95629378813055,0.894090288445127,0.995514274518585,1,NA,1,0.882481023405614,0.780863636363636,0.96
"pre_ltx vs post_ltx ASV terminal_ileum",0.2,0.129232751813871,0.996790890269151,0.997957516339869,0.996980676328502,0.864518744479215,0.785276694173543,0.931816093832783,0.927884615384615,NA,0.951219512195122,0.822059734612514,0.733333333333333,0.892493975903614
"post_ltx vs healthy ASV terminal_ileum",0.2,0.0479970106836323,1,1,1,0.957999611947639,0.899991750394011,0.989777809399902,1,NA,1,0.893834968387856,0.82118018967334,0.960288697788698
"pre_ltx vs healthy genus terminal_ileum",0.2,0.0398444834950226,1,1,1,0.965822389402721,0.915755208333333,0.995689655172414,1,NA,1,0.897547984611644,0.807692307692308,0.971411387329591
"pre_ltx vs post_ltx genus terminal_ileum",0,0.667401162895864,0.972670807453416,0.961601307189543,0.980072463768116,0.834470885536606,0.748780278342445,0.915447324414716,0.865384615384615,NA,0.878048780487805,0.778869831652333,0.697368421052632,0.851614114114114
"post_ltx vs healthy genus terminal_ileum",0,0.0709772218577769,1,1,1,0.965666112558471,0.922003406141868,0.993864511404059,1,NA,1,0.90031834116069,0.828009259259259,0.960545454545454
