feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Corynebacterium	Olsenella	Faecalitalea	Enterococcus	Lactobacillus	Ligilactobacillus	Staphylococcus	Sphingobium	Klebsiella	f__Enterobacteriaceae.g__unassigned	Pseudomonas
Cah8-297-CE	0.00017563117453348	0.0582217343578485	0	0	0.0404390779363337	0.000307354555433589	0.000307354555433589	0	0.000878155872667398	0	0.00329308452250274	0.000658616904500549	0.00140504939626784	0.0799560922063666	0.0135675082327113	0	0.000834248079034029	0.00737650933040615	0.00289791437980241	0	0	0.00298572996706915	0	0	0.12377607025247	0	0.0117233809001098	0.00570801317233809	0	0.0134357848518112	0.00100987925356751	0	0.00395170142700329	0	0	0.00557628979143798	0	0	8.78155872667398e-05	0.000307354555433589	0.00100987925356751	0	0	0.00267837541163557	8.78155872667398e-05	0.00399560922063666	0	0.00351262349066959	0.00614709110867179	0.0154116355653128	0.00105378704720088	0.0049615806805708	0.033238199780461	0.00636663007683864	0.0882985729967069	0.0013172338090011	0.0324478594950604	0.00957189901207464	0	0	0.0211196487376509	0.000878155872667398	0.0013172338090011	0	0.00276619099890231	0.000658616904500549	0.00109769484083425	0.0103622392974753	0.00838638858397366	0.00105378704720088	0.000351262349066959	0.000702524698133919	0.00127332601536773	0	0	0	0.00970362239297475	0.00843029637760703	0	0.000307354555433589	0	0.00307354555433589	0	0.0136114160263447	0.0193633369923161	0.00259055982436883	0.000790340285400659	0.000439077936333699	0.00109769484083425	0.000307354555433589	0.000351262349066959	0.000614709110867179	0.00162458836443469	0.00013172338090011	0	0.0283205268935236	0.00254665203073546	0.0084742041712404	0.00109769484083425	0.00245883644346872	0	8.78155872667398e-05	0	8.78155872667398e-05	0	0.138529088913282	0.000526893523600439	0.00250274423710209	0.000395170142700329	0	0.0422832052689352	0.0209440175631175	0	0.00021953896816685	0	0.00412733260153677	0.000658616904500549	0	0.00917672886937431	0.000307354555433589	0	0.00197585071350165	0.00021953896816685	0.0017563117453348	0	8.78155872667398e-05	0.000965971459934138	0	0.0112403951701427	0.000702524698133919	0	0.0054006586169045	0	0.000658616904500549	0	0	0.00026344676180022	0	0.00641053787047201	0	0.00026344676180022	0.00500548847420417	0	0.000922063666300768	0	0	0	0	0	0	0	0	0
Cah8-297-RE	0.00012253900825096	0.057960950902704	0.000204231680418266	0	0.0486479862756311	0.000163385344334613	0.00049015603300384	0	0.00126623641859325	0	0.00412547994444898	0.00110285107425864	0.00151131443509517	0.0757291070990932	0.013315905563271	0	0.000408463360836533	0.00747487950330855	0.0025324728371865	0	0	0.00261416550935381	0	0	0.112082346213545	0	0.0122130544890123	0.00563679437954416	0	0.0104566620374152	0.000898619393840373	0	0.000816926721673066	0	0	0.00514663834654031	0	0	8.16926721673066e-05	0.000612695041254799	0.000939465729924026	0	0	0.00412547994444898	0	0.00563679437954416	0	0.00469732864962013	0.00788334286414509	0.0182991585654767	0.00110285107425864	0.00502409933828936	0.0331263785638428	0.00951719630749122	0.0829589085858998	0.00200147046809901	0.0341066906298505	0.00951719630749122	0	0	0.0215260191160853	0.000653541377338453	0.000735234049505759	0	0.00269585818152112	0.000285924352585573	0.00196062413201536	0.00853688424148354	0.00776080385589413	0.000898619393840373	0.000285924352585573	0.00126623641859325	0.00138877542684421	0	0	0	0.0099665060044114	0.00645372110121722	0.00024507801650192	0.00102115840209133	0	0.00310432154235765	0	0.0124172861694306	0.0194020096397353	0.00285924352585573	0.00118454374642595	0.000204231680418266	0.000898619393840373	0	8.16926721673066e-05	0.00114369741034229	0.00114369741034229	8.16926721673066e-05	0	0.0304713667184054	0.0019197777959317	0.00972142798790948	0.00134792909076056	0.00302262887019034	0	0.00012253900825096	0	0	0	0.134588677395638	0.00024507801650192	0.00290008986193938	0.000449309696920186	0	0.0390082509598889	0.018380851237644	0	0.00024507801650192	0	0.00494240666612205	0.00118454374642595	0	0.0118862838003431	0.000571848705171146	0	0.00138877542684421	0.000204231680418266	0.00334939955885957	0	0	0.00118454374642595	0	0.0149497590066171	0.00147046809901152	0	0.00624948942079895	0	0.000735234049505759	8.16926721673066e-05	0	0.000204231680418266	0.000163385344334613	0.00604525774038069	0	0.000612695041254799	0.00751572583939221	0	0.00208316314026632	0	0	0	0	0	0	0	0	0
Cah8-298-RE	0.000513227266364951	0.041711379648206	0.000513227266364951	0	0	0	0	0	0	0.0127373676106938	0	0	0	0.130546353753558	0	0	0	0	0.00377921896141464	0	0	0	0	0	0	0	0	0.031913404563057	0	0	0	0	0	0	0.000653198339009938	0	0	0	0	0.00405916110670461	0.000326599169504969	0.000139971072644987	0.00321933467083469	0.00989128913357906	0.000233285121074978	0	0	0.00111976858115989	0	0.00494564456678953	0	0	0.00676526851117436	0.0122241403443288	0.16157327485653	0	0	0.031306863248262	0.00130639667801988	0.00503895861521952	0.0083982643586992	0.00345261979190967	0	0.00284607847711473	0.00699855363224933	0	0	0	0.00172630989595484	0.00765175197125927	0.0120841692716839	0	0.0361125367424066	0.010217888303084	0.000746512387439929	0	0.00242616525917977	0.00755843792282928	0	0.00405916110670461	0	0	0.00475901646992955	0.084355899780712	0.0125040824896188	0.000233285121074978	0.00116642560537489	9.33140484299911e-05	0.00387253300984463	0.00704521065646433	0.010077917230439	0.00111976858115989	0.00858489245555918	0.000139971072644987	0.000233285121074978	0.0123174543927588	0.000699855363224934	0.0193626650492232	0.0041991321793496	0.00671861148695936	0.000186628096859982	0	0	0.00041991321793496	0	0.151215415480801	0.00429244622777959	0.010871086642094	0.0177296692016983	0.00279942145289973	0.0223487145989829	0.00433910325199459	0.00676526851117436	0	0	0.0010264545327299	0	0.000139971072644987	0.00718518172910932	0.00415247515513461	0	0	0	0	0	0	0	0	0.00373256193719965	0	0	0.00531890076050949	0	0	0.000139971072644987	0	0.00709186768067933	0.00251947930760976	0	0	0	0	0	0	0	0	0.00116642560537489	0	0.000279942145289973	0	0	0	0
Cah8-299-CE	0.000558347292015634	0.000403250822011291	0	0.000248154352006948	0.0490104845213723	0	0.0015819839940443	0.0124077176003474	0	0.000155096470004343	0	0	0	0.234257708294559	0	0.0243191264966809	0.000124077176003474	0.00220236987406167	0.00269867857807556	0	0	0.0111669458403127	0	0.0016750418760469	0	0	0.0174328432284881	0.00831317079223277	0	0	0.00483900986413549	0	0	0	0	0.00105465599602953	0.00021713505800608	0	0.00114771387803214	0	0	0.000558347292015634	0	0.0050251256281407	0	0.000186115764005211	0	0.000527327998014765	0	0	0	0	0	0.0139897015943917	0.0767107140641479	0.00130281034803648	0.00592468515416589	0.0114771387803214	0	0	0.00406352751411378	0	0.00204727340405732	0.00043427011601216	0.0294373100068242	6.20385880017371e-05	9.30578820026056e-05	0.000124077176003474	9.30578820026056e-05	0.0010856752900304	0.0147031453564117	9.30578820026056e-05	0.000341212234009554	0.00300887151808425	0	0	0	0.0138035858303865	0	0	0	0.00487002915813636	0.0883429493144736	0.161331348098517	0.0637756684657857	0	0.00136484893603822	0	0.00865438302624232	0.0231714126186488	0.00155096470004343	0	0.00638997456417892	0	0	0.00614182021217197	0.000806501644022582	0.00254358210807122	0	0.00359823810410075	0	0.000961598114026925	0	0.000527327998014765	0	0.017215708170482	0	0.000310192940008685	0	0	0	0.0016750418760469	0.00303989081208512	0	0.00186115764005211	0.00151994540604256	0	0	0.00331906445809293	0	0	0	0	6.20385880017371e-05	0	6.20385880017371e-05	0	0.00043427011601216	0.000403250822011291	0	0	0.0123456790123457	0	0	0.000124077176003474	6.20385880017371e-05	0.0050251256281407	0.0176809975804951	0	0	0	0.000899559526025188	0	0	0.00102363670202866	0	0	0	0	0	0	0	0
Cah8-300-CE	0.000527721890563673	0.00910320261222336	0	0	0.0751014215508427	0	0.000131930472640918	6.59652363204591e-05	0.00230878327121607	0.000131930472640918	0.0123025165737656	0.00158316567169102	0.00277053992545928	0.167221874072364	0.00629968006860385	0.000956495926646657	0.000230878327121607	0.00128632210824895	0.00237474850753653	0.00382598370658663	0.0278043471090735	0.00217685279857515	0	0	0.0167221874072364	0	0.00596985388700155	0.0433391602625416	0	0.00244071374385699	0.00445265345163099	0.000923513308486428	0.000461756654243214	0.00930109832118474	0	0.000230878327121607	0	0.0049144101058742	0	0	0	0	9.89478544806887e-05	0.00501335796035489	9.89478544806887e-05	0	0.000131930472640918	0.00141825258088987	0	0.000461756654243214	0	0	0.0052442362874765	0.00293545301626043	0.102378046769353	0.0188990402058115	0.0220653715491936	0.0644810185032488	0.000164913090801148	0	0.008476532867179	0	0.00247369636201722	0	0.0118407599195224	0.000560704508723902	0.00217685279857515	0.00349615752498433	0.00075860021768528	0.0011214090174478	0.00709126290444935	0.000857548072165968	0.0218674758402322	0	0	0	0.000230878327121607	0.00715722814076981	0.000428774036082984	0.000263860945281836	0	0	0	0.0550809723275834	0.0388205415745902	0	0.00204492232593423	0	0.00366107061578548	0.000329826181602296	0.000230878327121607	0.00141825258088987	0.0017810613806524	0.000956495926646657	0	0.0175137702430819	0	0.000395791417922755	0.000923513308486428	0.0014512351990501	6.59652363204591e-05	0.000230878327121607	0	0.000131930472640918	0.000197895708961377	0.0711764899897754	0	0.00227580065305584	0.000527721890563673	6.59652363204591e-05	0.0220323889310333	0.0348956100135229	0.000296843563442066	0	0.000296843563442066	0.000857548072165968	0	0	0.00184702661697286	0	0	0.000692634981364821	0.000329826181602296	6.59652363204591e-05	0.000560704508723902	0.000131930472640918	0	0	9.89478544806887e-05	0	0.00125333949008872	0.00745407170421188	0	0	0.000560704508723902	0.000263860945281836	0.000428774036082984	0.000329826181602296	0.0302780434710907	0	0.000890530690326198	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-RE	0	0.00213918346911838	0	0	0.0215283783168722	0	0.00691821036821264	0.00109234900550726	0	0.000182058167584543	0	0	0	0.30412816894998	0.0235765327021984	0.00218469801101452	0	0.00263984342997588	0.00869327750216194	0	0	0	0	0	0	0.00459696873150972	0.00491557052478267	0.0101497428428383	0.000318601793272951	0.00314050339083337	0.0019116107596377	0	0.000273087251376815	0	0	0.00282190159756042	0	0	0.00141095079878021	0.000728232670338173	0	0	0	0.00341359064221019	0	0.00054617450275363	0	0.00427836693823677	0.00641755040735515	0.0043238814801329	0.000227572709480679	0.000910290837922716	0.00218469801101452	0.000728232670338173	0.0309954030312685	0.0123344408538528	0.0337262755450366	0.0133812753174639	0	0	0.00268535797187201	0.000455145418961358	0	0	0.0498839379181649	0	0.000318601793272951	0.00282190159756042	0.00218469801101452	0.0030494743070411	0.01743206954622	0.00054617450275363	0.0113331209321378	0	0	0	0.000409630877065222	0.00277638705566428	0	0	0	0.000409630877065222	0.0147922261162441	0.0168858950434664	0.0575303809567157	0	0.0012744071730918	0	0.00359564880979473	0.00109234900550726	0.00104683446361112	9.10290837922716e-05	0.0048245414409904	0.00154749442446862	0.000136543625688407	0.00791953028992763	0.0017750671339493	0.0105138591780074	0.000182058167584543	0.00505211415047108	0	0	0.0155204587865823	0	0	0.139046925492695	0	0.00145646534067635	0.00491557052478267	0	0.00159300896636475	0.0292203358973192	0.000364116335169087	0.000364116335169087	9.10290837922716e-05	0.00131992171498794	0.00118337808929953	0.000273087251376815	0.0017750671339493	0	0	0.0011378635474034	0	0	0.000273087251376815	0	0	0	0	0	0	0.012744071730918	0	0	0	0	0.00628100678166674	0.00182058167584543	0.0411451458741068	0	9.10290837922716e-05	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-CE	0.000106974753958066	0	0	0	0.00299529311082585	0	0	0.00221081158180003	0.000178291256596777	0.00196120382256454	0.0010340892882613	0.000427899015832264	0	0.260554842390529	0.016759378120097	0.0094137783483098	0	0.00634716873484524	0.0104835258878905	0	0	0.00923548709171302	0	0	0	0	0.0116602481814292	0.0239266866352874	0	0	0.00106974753958066	0	0.000178291256596777	0	0.00559834545713878	0.00206817857652261	0.0201112537441164	0	0.0010340892882613	0	0	0.000213949507916132	0	0.00139067180145486	0.000142633005277421	0	7.13165026387106e-05	0.000178291256596777	0.000142633005277421	0.00353016688061617	0	0	0	0.000356582513193553	0.0100556268720582	0	0.00160462130937099	0.00513478818998716	0.00185422906860648	0.0680359435173299	0	0.000499215518470974	0	0	0.0341606047639424	0	0.000142633005277421	0.00263871059763229	0	0.00106974753958066	0.00395806589644844	0.000641848523748395	0.000784481529025817	0.000962772785622593	0.0195763799743261	0	0	0.000855798031664527	0	0	0	0	0	0.0885750962772786	0.0699614890885751	0	0.00131935529881615	0.000106974753958066	0.00673940949935815	0.023891028383968	0.00295963485950649	0.000106974753958066	0.00912851233775496	0.00156896305805163	0	0.00249607759235487	0.00417201540436457	0.00206817857652261	0.00053487376979033	0.00834403080872914	0	0.000891456282983882	0.000320924261874198	0.000142633005277421	0	0.0215375837968906	0	0.00249607759235487	0.000427899015832264	0	0.000285266010554842	0.00374411638853231	0.0128369704749679	0	0.000178291256596777	0.00110540579090001	0	0.000499215518470974	0.000178291256596777	0	0.000641848523748395	0.000178291256596777	0	0	0	0	7.13165026387106e-05	0	0	0	0	0.0373698473826844	0	0	0.000142633005277421	0	0.0127299957210098	0.00164027956069034	0.0109827414063614	0.124162031093995	0	0	0	0	0.000106974753958066	0	0	0	0	0	0	0	0
Cah8-302-RE	0.00039316762046219	0.000480538202787122	0.000131055873487397	0	0.00650910838320737	0	0	0.00349482329299725	0	0.00270848805207287	0.00327639683718492	0.00131055873487397	0	0.243370757066096	0.022235813201695	0.00751387007994408	0	0.00655279367436984	0.0162509283124372	0	0	0.00838757590319339	0	0	0	0	0.0106155257524791	0.0195273251496221	0	0	0.00235900572277314	0	0.00109213227906164	0	0.00336376741950985	0.00104844698789917	0.0162072430212747	0	0.00109213227906164	0	0	0	0.000480538202787122	0.00318902625485999	0.000218426455812328	0	0	0.00131055873487397	0.00039316762046219	0.00537329081298327	0	8.73705823249312e-05	0	0.00039316762046219	0.0137608667161767	0	0.0053296055218208	0.0105281551701542	0.0027958586343978	0.0509807347865973	0.000436852911624656	0.0015289851906863	0	8.73705823249312e-05	0.0283954392556026	0	0	0.00275217334323533	0	0.00214057926696081	0.00397536149578437	0.000174741164649862	0.00170372635533616	0.00113581757022411	0.0166440959328994	0	0	0.00235900572277314	0	0	0	0	0	0.0795946004980123	0.0602420165130401	0	0.00227163514044821	0.000436852911624656	0.00760124066226901	0.0177799135031235	0.00196583810231095	0.000567908785112053	0.0079944082827312	0.000786335240924381	0.000218426455812328	0.00262111746974794	0.00449958498973396	0.00428115853392163	0.000349482329299725	0.00856231706784326	0.000567908785112053	0.000524223493949587	0.000480538202787122	0.000218426455812328	0	0.0668821807697348	0	0.00244637630509807	0.000262111746974794	0	0.000218426455812328	0.00345113800183478	0.00982919051155476	0	0.000131055873487397	0.00192215281114849	0	0.000305797038137259	0.000480538202787122	0	0.000742649949761915	0	0	0	0	0.000174741164649862	0.000655279367436984	0	0	0	0	0.0327639683718492	0	0	0	0	0.0134550696780394	0.00174741164649862	0.0208815691756586	0.10790266917129	0	0	0	0	8.73705823249312e-05	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00909372339602198	0	0	0.0630369166473183	0	0.00282485875706215	0	0	0.000851327296648866	0	0	0	0.182996672084204	0.00797151923225757	0	0	0.00112220416376441	0.0020122281557155	0	0	0	0	0	0	0	0.0125764259732219	0.00379227613961768	0	0	0.000541753734231097	0	0	0.00739106880272425	0	0.00228310502283105	0	0.0157882516833062	0	0	0.000116090085906664	0	0	0.00367618605371101	0	0.00189613806980884	0	0.00866805974769755	0.00232180171813327	0.00185744137450662	0.00135438433557774	0.00131568764027552	0.050383097283492	0.00178004798390217	0.0634625802956428	0.00460490674096432	0.0366070737559012	0.0133116631839641	0	0	0.0357557464592524	0.000928720687253309	0	0	0.0213992725021283	0.00564971751412429	0.000928720687253309	0.00139308103087996	0.0025539818899466	0.000928720687253309	0.000696540515439981	0.000928720687253309	0.00305703892887547	0	0	0	0.00646234811547094	0.00646234811547094	0	0.00286355545236437	0	0.00065784382013776	0	0.00414054639733767	0.010138534169182	0.00363748935840879	0.00205092485101772	0.000232180171813327	0.00135438433557774	0.000386966953022212	0.00208962154631994	0.000541753734231097	0.00154786781208885	0	0	0.00812630601346645	0.000812630601346645	0.00634625802956428	0.000232180171813327	0.00340530918659546	0	0	0.056690658617754	0	0	0.225059979877718	0	0.00228310502283105	0	0	0.00773933906044424	0.0277842272269948	0.00119959755436886	0	0.000116090085906664	0.000386966953022212	0.00158656450739107	0	0.00336661249129324	0	0	0.000619147124835539	0.000580450429533318	0	0	0	0.000928720687253309	0	0.0065784382013776	0	0	0.00611407785775095	0	0	0	0	0	0.0140855970900085	0.00123829424967108	0	0.000154786781208885	0.00414054639733767	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-RE	0	0.00902245437894308	0	0	0.0692286819076046	0	0.00457906519232074	0	0	0.000814056034190353	0	0	0	0.176480564412184	0.0087850213689709	0.000237433009972186	0	0.00145851706125772	0.00220473509259887	0	0	0	0	0	0	0	0.0141103045926328	0.00403636116952717	0	0	0.000542704022793569	0	0	0.00990434841598263	0	0.00193338308120209	0	0.0202835628519096	0	0	0.000407028017095177	0.000135676005698392	0	0.0052913642222373	0	0.00332406213961061	0	0.00953123940031205	0.00386676616240418	0.00237433009972186	0.00111932704701174	0.00088189403703955	0.0409402347194899	0.00244216810257106	0.0676005698392239	0.00471474119801913	0.0326979173733125	0.0118038124957601	0	0	0.0325961603690387	0.000847975035614951	0	0	0.0177057187436402	0.0053252832236619	0.00118716504986093	0.00200122108405129	0.00254392510684485	0.000847975035614951	0.000678380028491961	0.00088189403703955	0.00627501526355064	0	0	0	0.00580014924360627	0.00756393731768537	0	0.00261176310969405	0	0.00088189403703955	0	0.00461298419374534	0.00912421138321688	0.00278135811681704	0.0017298690726545	0.000373109015670579	0.00142459805983312	0.000678380028491961	0.00213689708974968	0.000407028017095177	0.00189946407977749	0	0	0.00888677837324469	0.000712299029916559	0.00396852316667797	0.000474866019944373	0.00278135811681704	0	0	0.0542704022793569	0.000135676005698392	0	0.219896886235669	0.000101757004273794	0.00193338308120209	0	0.000101757004273794	0.00746218031341157	0.0306966962892612	0.00128892205413473	0	0	0.000203514008547588	0.00128892205413473	0	0.00322230513533682	0	0	0.00122108405128553	0.000576623024218167	0	0	0	0.00152635506410691	0	0.00786920833050675	0	0	0.00563055423648328	0	0	0	0	0	0.0147547656197002	0.00189946407977749	0	6.78380028491961e-05	0.00535920222508649	0	0	0	0	0	0	0	0	0	0	0
