feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Rikenellaceae_RC9_gut_group	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Izemoplasmatales	Abiotrophia	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Angelakisella	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Pseudomonas	Akkermansia	Corynebacterium	Libanicoccus	Campylobacter	Faecalitalea	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lacticaseibacillus	Lactobacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Staphylococcus	Megamonas	Allisonella	Veillonellaceae	Methylobacterium.Methylorubrum	f__Xanthobacteraceae.g__unassigned	Sphingobium	Sphingopyxis	Neisseria	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Aggregatibacter
run07-Cah7-63	59	126	0	0	0	400	0	0	57	0	14	38	0	0	6386	0	0	0	0	63	0	0	0	0	0	0	99	0	59	0	0	18	0	0	0	0	7	417	0	0	0	0	0	32	0	0	0	0	204	21	0	2	0	0	2	0	0	0	0	154	46	1040	0	0	41	0	0	118	10	0	2	504	5	0	47	7	0	0	160	0	0	3	0	177	0	0	0	0	6	88	0	0	0	0	3290	1983	24	0	130	0	249	58	26	0	145	0	0	0	0	0	0	2	0	0	4	2	4	68	0	12	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	0	13	276	11	0	0	0	0	0	0	32	0	11	0	65	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run07-Cah7-66	78	106	0	0	0	727	10	9	18	0	0	0	0	0	2212	624	7	0	6	83	0	0	0	0	0	31	464	0	647	0	80	19	18	4	0	0	0	70	0	0	0	0	0	0	0	0	9	4	150	8	19	36	115	11	262	62	2	0	0	0	34	2278	6	148	263	0	0	34	0	0	0	874	0	0	0	0	0	0	39	60	106	0	29	0	0	0	0	0	0	112	0	0	0	0	0	145	402	0	5	0	9	7	14	0	78	4	0	321	26	39	13	21	0	0	0	0	0	542	0	4	0	0	0	161	0	0	0	3	13	0	7	0	0	38	0	0	2	7	20	10	0	0	0	84	0	0	4	58	5	21	12	80	238	23	0	204	81	0	0	0	0	164	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	74	0
run07-Cah7-69	3	18	0	2	0	256	3	33	214	0	24	0	0	0	2730	67	188	0	29	75	0	0	0	0	0	0	366	0	519	0	139	101	0	2	0	0	0	29	2	0	6	4	0	0	8	0	0	0	21	0	0	0	62	79	12	11	0	0	0	46	12	779	0	0	322	3	88	29	32	0	0	2274	0	4	0	0	2	0	62	469	0	0	19	89	0	4	0	0	3	105	0	0	0	0	0	263	2021	0	18	0	401	56	60	0	33	26	0	63	37	138	13	183	0	0	0	0	0	6062	0	50	89	2	77	6	6	0	0	9	0	0	23	0	5	21	0	0	0	0	0	8	0	3	0	0	0	0	2	0	0	70	57	291	41	0	0	690	0	0	0	2	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
run07-Cah7-72	4	78	4	0	0	233	0	0	0	0	0	40	37	0	2194	173	192	0	11	64	0	0	0	0	0	0	486	0	209	0	0	43	0	12	0	0	0	0	0	0	0	20	0	0	0	2	0	0	10	0	8	2	137	59	32	2	0	0	0	0	11	235	35	520	172	0	0	27	0	41	0	386	0	15	17	8	0	0	64	122	10	0	27	0	0	0	0	0	0	68	0	0	0	0	0	11089	735	0	25	6	20	10	27	16	13	6	0	214	21	70	7	0	0	0	0	0	0	2001	0	11	36	0	33	435	1	2	0	5	31	0	22	0	5	8	3	0	0	0	17	0	0	0	82	0	7	0	0	0	0	127	107	129	0	5	0	1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run07-Cah7-73	5	82	0	0	0	1424	7	5	0	7	0	256	27	13	2280	7	0	0	10	56	78	0	3	0	1218	0	21	2	136	0	41	71	157	0	10	153	0	3	0	78	0	0	0	0	0	2	0	0	41	0	0	3	81	2	61	4	0	0	0	193	37	1106	520	640	643	0	0	21	20	115	0	320	10	74	15	11	0	0	39	244	20	0	261	0	0	0	0	7	0	163	17	35	0	9	0	1838	425	2	44	0	51	0	52	29	5	0	0	224	47	57	22	0	0	0	60	0	0	1559	7	16	0	0	59	242	0	0	0	7	19	0	52	2	0	32	0	9	0	0	115	3	22	0	0	270	26	0	5	4	0	0	7	301	0	4	0	128	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run07-Cah7-75	112	311	103	24	0	1616	2	3	0	2	0	86	30	0	5058	240	104	6	54	150	0	0	0	0	0	0	226	0	340	0	34	93	0	46	0	0	0	172	0	0	5	0	0	0	0	0	22	0	839	35	2	96	153	0	19	0	3	2	0	39	232	2529	224	1416	610	0	0	205	16	0	0	829	0	20	141	21	5	0	95	170	68	45	604	0	0	0	0	46	0	474	0	25	0	124	0	521	1115	0	78	0	30	32	10	2	11	0	0	87	29	2	0	86	0	0	67	0	0	2368	0	46	33	3	0	864	0	0	0	7	0	0	7	0	0	3	0	5	0	2	6	30	9	0	18	0	30	14	26	15	23	80	49	108	0	941	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
run07-Cah7-77	8	1517	3	0	8	813	0	0	0	9	0	32	18	0	1283	29	11	0	25	4	18	424	86	13	10	0	124	0	495	0	130	0	0	0	0	0	0	169	0	44	0	0	0	0	0	0	0	0	85	0	14	2	44	0	115	0	0	2	0	219	45	1734	11	226	364	0	0	145	10	15	0	175	5	18	85	5	0	0	15	26	59	0	71	6	0	0	0	0	0	169	0	0	0	708	0	2371	340	3	13	0	20	19	24	4	6	2	2	72	17	60	5	0	0	4	0	0	0	2405	3	25	8	0	54	113	0	3	2	9	0	3	30	37	0	2	0	6	3	0	0	0	0	0	0	10	16	37	7	0	0	93	0	248	0	0	0	6	0	22	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run07-Cah7-78	0	104	0	0	0	1178	0	3	0	0	7	0	0	9	9387	19	16	0	50	16	0	0	0	0	0	0	86	0	168	0	0	18	17	0	0	0	5	224	4	0	7	0	0	13	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	23	152	894	57	318	430	2	0	162	0	0	0	1143	3	6	35	2	0	0	63	41	0	0	141	0	0	0	0	0	0	130	0	5	0	18	1490	1475	1012	0	44	0	3	40	14	0	88	6	0	12	0	0	0	0	0	0	0	0	0	1706	0	28	0	0	41	232	3	0	0	4	0	0	0	0	0	5	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	765	705	0	0	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
run07-Cah7-79	2	331	0	0	12	558	0	0	0	31	0	14	16	32	6125	234	20	0	50	77	0	0	80	0	0	403	254	0	211	4	0	0	0	5	4	0	0	211	0	37	2	0	0	0	0	0	2	0	42	4	0	0	130	5	4	0	16	3	2	173	30	520	24	1566	137	0	0	243	4	31	0	455	14	40	82	29	0	0	38	2	20	0	122	0	0	0	0	0	0	90	0	17	0	28	0	586	1432	3	34	0	23	41	27	3	11	6	4	31	12	41	34	11	0	0	74	0	0	4327	0	11	13	0	48	318	2	0	4	9	0	0	42	99	0	0	0	3	0	0	8	0	4	0	387	27	0	95	0	3	0	0	2	594	0	4	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
run07-Cah7-80	9	13	3	0	2	54	0	0	0	0	0	6	0	7	336	32	3	0	2	2	0	0	0	0	0	0	18	0	9	0	0	4	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	102	3	0	0	21	0	0	0	0	0	0	25	13	216	10	63	26	0	0	10	0	0	0	24	0	0	6	7	0	0	3	3	2	0	9	0	0	0	0	0	0	8	0	0	0	8	0	215	104	0	2	0	0	13	0	0	6	0	0	36	0	2	0	7	0	0	2	0	0	308	0	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	5	2	21	0	0	0	0	0	0	0	12	0	0	0	0	18	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15615	0	0	0
