feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Desulfobacterota	Group	pre_ltx	-3.258598782016	0.587084803936018	137	104	3.90245956145028e-07	3.90245956145028e-06
Bacteroidota	Group	pre_ltx	-1.89213994644611	0.513286957494268	137	134	0.000424471096566025	0.00212235548283013
