feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Campylobacter	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lacticaseibacillus	Lactobacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	TM7x	Methylobacterium.Methylorubrum	f__Xanthobacteraceae.g__unassigned	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Sphingopyxis	Neisseria	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Aggregatibacter	Haemophilus	Pseudomonas	Akkermansia	Leucobacter	Cutibacterium	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Dysgonomonas	Alloprevotella	Parasediminibacterium	Dielma	Vagococcus	Clostridium_sensu_stricto_5	Howardella	Tyzzerella	Pseudoflavonifractor	CAG.352	f__Peptococcaceae.g__uncultured	Asticcacaulis	Pseudochrobactrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Comamonas	Aeromonas	Morganella	Proteus	Providencia	Shewanella	f__Yersiniaceae.g__unassigned	Halomonas	Dyella
4029.1.rerun.lib32	858	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10431	0	16	0	0	0	0	0	37	0	0	0	0	631	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	136
4031.1.lib29	5	0	0	8	0	0	0	155	0	31	0	0	0	5362	644	0	162	0	0	0	1134	234	0	6	0	0	0	0	0	87	0	0	5	8	13	10	0	0	0	6	0	0	0	0	246	4	10	0	496	178	6	0	1646	0	3576	143	475	458	62	577	123	31	263	205	0	18	129	133	12	64	1450	26	119	0	350	0	0	33	0	543	0	436	923	95	877	40	12	254	11	62	44	444	52	57	0	10	0	0	0	2454	53	92	78	116	1492	21	44	7	158	0	0	0	34	8	0	137	0	0	0	0	0	0	0	0	6	15	0	2	0	0	0	0	0	0	0	408	0	56	0	0	0	0	16	0	0	0	0	0	0	0	8	2	0	0	0	0	9	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
4032.1.lib29	0	280	0	0	0	0	0	0	0	0	0	0	0	7983	0	0	0	0	0	0	0	317	1509	2	0	0	0	0	0	33	0	0	0	5	35	0	0	0	0	0	0	0	0	0	222	2	0	0	498	0	0	151	177	37	1771	771	313	236	0	246	15	24	152	59	29	84	30	90	3	38	380	18	0	4	0	0	152	10	10	19	0	385	2091	49	205	57	0	50	250	15	3	326	73	114	3	9	0	0	0	4713	0	66	3	386	1867	0	0	2	23	34	0	0	0	0	0	0	75	0	0	0	0	0	0	346	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
4035.1.lib27	0	275	0	0	0	0	0	0	0	18	0	0	0	2613	257	0	125	0	0	0	0	47	157	0	0	94	0	0	11	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7	31	1766	0	0	86	0	21	12	0	67	5	0	0	0	260	6	0	2107	16	0	0	12	0	79	0	0	0	30	97	78	0	0	12	26	8	0	14	4	0	0	0	0	0	2	0	0	5496	0	9	0	21	0	2	0	0	0	31	0	0	0	0	0	0	28	0	2	0	0	0	0	87	0	14	0	0	0	0	0	0	0	0	0	59	0	53	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4036.1.lib29	0	0	0	0	0	0	0	2	0	34	0	0	6	4910	0	0	0	64	341	0	0	504	42	0	0	30	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	37	556	0	2	11	0	105	0	112	3139	0	0	4	0	12	17	0	31	0	0	0	0	0	0	0	0	0	0	3	306	0	39	13	0	63	0	0	0	0	13	0	0	29	3	0	0	89	0	0	0	7	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	2	0	0	0	0	0	0	0	0	0	14	372	0	0	2	0	0	0	4	8448	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	2	0
4038.1.lib29	0	28	0	0	0	0	0	0	0	13	0	0	0	7985	38	0	15	18	0	0	0	229	140	0	142	90	6	0	29	117	4	0	0	0	0	0	0	8	0	0	0	0	0	0	37	0	4	0	23	0	0	0	126	15	1083	76	367	1089	37	59	0	4	1001	19	25	6	0	51	0	0	425	27	0	0	40	0	106	0	0	0	74	946	456	0	62	16	3	5	4	9	3	21	0	0	0	4	0	0	0	2513	0	70	0	11	3735	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	5	0	0	0	0	0	0	0	68	635	2730	0	0	0	0	0	0	667	0	0	0	0	0	4	0	0	0	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
4039.1.lib29	0	2	0	0	0	0	0	47	0	13	0	0	0	3471	0	0	23	0	0	0	0	9	728	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	38	1061	242	299	598	0	0	38	23	417	7	0	91	24	95	0	0	37	0	0	0	0	0	6	0	0	0	2601	70	158	0	15	0	5	0	0	0	0	0	11	0	7	5	0	0	0	741	0	82	0	0	298	0	0	0	0	0	0	3	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	28	9569	0	0	0	0	3	0	0	0	3	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4042.1.lib27	0	112	0	0	0	0	0	36	7	3	0	0	0	3869	0	197	7	49	0	0	0	593	159	0	0	91	0	0	0	3	0	125	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	3	69	102	800	0	214	213	12	81	18	0	153	37	6	15	18	47	222	4	381	0	0	0	0	0	8	0	0	428	0	192	512	9	24	14	20	8	0	22	61	171	9	0	0	34	0	0	4	3724	0	40	6	79	635	4	0	5	27	94	0	5	10	0	0	0	8	0	8	407	84	0	0	156	0	2	0	0	0	0	0	260	0	0	0	8	198	9	0	0	0	0	0	15	71	0	0	3	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0
4045.1.lib29	11	271	0	10	0	0	0	361	6	0	0	59	0	6972	159	0	292	0	139	2147	0	338	434	0	0	32	0	0	58	25	0	20	0	0	0	0	0	18	0	0	0	0	0	0	215	20	7	0	57	0	0	0	687	115	1909	566	397	623	0	167	20	6	217	24	56	11	21	177	170	4	682	0	0	0	0	0	261	0	16	76	0	472	1092	16	37	30	0	0	48	2	0	346	69	0	0	167	0	0	0	4443	0	47	0	198	564	0	0	0	8	19	0	7	0	0	0	0	0	0	41	0	0	0	0	766	0	48	0	122	0	0	0	0	0	0	0	0	350	4115	85	0	0	6	371	0	505	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4047.1.lib29	5	3	0	7	0	0	0	438	0	0	16	11	0	1913	304	6	13	31	255	0	4212	371	82	0	0	119	0	0	0	34	0	0	3	0	0	0	0	0	0	0	0	0	0	0	54	12	4	0	114	8	0	1042	72	361	1200	543	209	1074	0	48	29	4	348	15	53	16	14	127	11	155	103	0	0	0	8	0	145	8	0	139	0	62	405	0	148	30	2	31	22	10	0	116	24	25	5	0	0	0	0	1266	0	28	0	0	1067	2	0	0	29	9	0	3	17	0	0	0	0	0	0	0	827	0	0	114	0	11	0	3	0	0	0	0	0	0	0	3	528	2537	20	0	2	0	14	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
