feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Corynebacterium	Olsenella	Campylobacter	Faecalitalea	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lacticaseibacillus	Lactobacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Staphylococcus	f__Christensenellaceae.g__uncultured	Anaerofustis	Eubacterium	Anaerostignum	Lachnoanaerobaculum	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	Anaerococcus	Finegoldia	Peptoniphilus	Clostridioides	Veillonellaceae	o__Veillonellales.Selenomonadales.f__unassigned.g__unassigned	TM7x	Methylobacterium.Methylorubrum	Sphingobium	Klebsiella	f__Enterobacteriaceae.g__unassigned	Morganella	Proteus	Aggregatibacter	o__Enterobacterales.f__unassigned.g__unassigned	Pseudomonas
P308CA1R.lib21	3	23	0	4	213	0	33	4	11	0	63	20	43	4597	886	205	0	174	217	0	0	150	0	0	307	295	2079	310	17	95	100	0	0	0	4	58	0	0	8	121	58	0	0	38	0	61	4	690	86	450	37	376	285	45	1293	474	2919	646	0	0	99	88	0	0	2053	210	38	29	15	182	68	24	380	0	0	0	78	259	28	28	9	10	70	791	4755	38	54	0	155	27	462	48	136	27	16	375	72	755	22	49	4	4	0	5	0	19476	0	120	82	16	650	285	28	0	2	34	103	0	71	176	12	57	13	0	0	0	720	0	216	79	128	0	210	0	17	0	94	87	836	0	62	6465	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	13
P308SI1R.lib20	0	0	0	3	110	0	11	3	0	0	14	2	6	2661	605	78	0	104	88	0	0	13	0	0	32	51	942	91	10	19	52	0	0	0	0	10	0	0	4	19	12	0	0	5	0	4	2	153	19	85	3	21	36	10	347	132	720	166	0	0	20	28	0	0	559	6	22	5	5	38	50	9	87	0	0	0	7	80	0	3	0	0	27	233	964	5	11	0	39	4	198	6	62	6	14	98	37	139	5	15	2	0	0	0	0	5364	0	57	41	2	61	127	11	0	2	24	6	0	7	64	6	21	0	0	0	0	181	2	16	17	24	0	18	0	0	0	36	15	276	0	4	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P310CA1R.lib21	18	87	0	0	198	0	0	0	0	0	7	7	35	4321	254	4	0	35	21	318	0	94	0	49	0	0	278	417	0	132	0	0	0	234	11	113	0	81	0	0	0	5	0	95	6	7	2	126	0	44	0	5	119	329	3123	899	292	1344	0	0	154	51	0	0	851	62	41	74	38	216	78	54	82	0	0	4	37	418	0	6	2	24	0	1748	1311	30	54	0	122	0	85	0	27	0	0	60	56	11	22	30	4	0	15	9	0	5641	0	160	0	0	118	187	4	0	0	30	7	0	6	67	0	13	0	0	0	0	88	0	9	0	0	240	0	0	75	0	324	21	2395	56	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P310SI1R.lib21	25	86	4	3	176	0	2	0	0	0	18	7	11	3557	345	9	0	32	24	273	0	69	0	49	0	0	369	609	0	120	9	0	0	233	12	57	0	22	0	3	0	0	0	174	13	4	0	226	0	60	5	3	124	80	2711	815	440	844	0	0	124	61	0	0	544	48	32	66	55	177	126	38	127	0	0	17	54	375	0	25	5	16	0	1169	1119	42	65	3	165	12	138	4	64	0	0	232	81	21	52	14	0	0	58	14	5	5149	0	174	0	0	196	191	3	14	3	27	0	0	38	117	0	33	0	0	0	0	50	0	27	0	0	181	0	0	158	0	635	18	1673	53	14	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P314CA1R.lib21	0	242	0	0	180	0	115	0	0	0	379	0	0	5911	299	154	0	0	153	0	0	0	0	0	0	0	308	485	0	27	0	0	0	0	69	380	0	0	140	345	0	0	0	0	0	0	0	197	0	579	0	0	367	77	2581	333	2391	1264	0	0	496	27	0	0	1538	0	0	24	0	474	382	76	307	41	0	0	72	530	0	0	0	133	65	3322	4836	0	193	54	167	46	268	0	5	90	0	234	0	181	60	32	232	0	0	0	0	5946	0	64	60	0	140	419	0	158	0	59	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	876	0	0	0	0	606	17	1057	1451	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452
P314SI1R.lib21	5	311	0	0	244	0	354	0	0	0	567	0	0	6182	332	178	0	0	206	0	2	0	0	0	0	0	565	722	0	234	20	0	13	0	15	409	0	0	0	209	0	0	0	58	0	0	0	213	2	352	5	0	145	277	2046	731	1280	895	0	0	645	23	118	0	836	0	22	184	11	238	276	238	124	11	0	0	33	593	0	3	17	78	103	2598	1882	3	183	24	280	45	267	6	93	23	8	221	23	235	4	125	307	24	0	16	0	4583	0	35	45	0	93	713	28	89	14	108	39	26	33	0	125	23	37	0	0	0	0	0	8	0	0	772	15	0	5	0	642	25	2633	988	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
P318CA1R.lib21	0	206	0	5	118	0	19	0	0	0	0	32	13	1135	1290	59	17	115	21	0	3106	8	0	163	1647	0	37	524	0	163	33	0	10	0	0	50	0	0	7	0	0	0	0	87	6	2	0	651	4	46	8	0	12	57	610	162	930	613	0	0	126	20	69	0	657	0	96	5	87	158	458	10	149	0	0	0	0	164	20	4	0	0	0	9228	2075	4	189	14	196	35	119	13	30	10	0	328	44	204	19	15	3	0	0	0	3	9112	4	17	63	0	59	286	2	0	4	30	6	0	9	0	61	246	0	0	0	0	0	0	2	0	0	1036	0	0	0	6	97	0	1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P318SI1R.lib21	0	162	7	0	301	0	34	0	7	0	0	33	10	2008	1690	76	8	245	47	0	2740	52	0	401	3317	0	54	1034	0	129	34	6	21	0	0	38	0	0	5	0	0	0	0	57	0	0	0	781	0	46	3	0	28	48	953	125	1024	794	0	0	160	44	47	0	905	0	66	34	92	153	500	31	130	0	0	0	9	156	20	2	2	0	0	9307	2566	0	298	13	285	80	120	8	80	27	0	343	56	199	12	10	0	8	0	2	0	8572	0	16	113	0	62	389	0	18	0	55	27	0	9	0	72	271	28	0	0	0	0	0	0	0	0	1179	0	0	8	0	196	0	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P320CA1R.lib21	0	80	0	0	20	0	8	18	0	0	20	3	3	3114	64	10	0	21	76	73	0	187	266	0	0	0	311	251	145	223	51	329	0	0	47	41	20	100	9	0	0	0	0	13	0	0	0	358	8	7	17	144	24	11	367	95	320	104	9	0	72	20	0	5	331	21	7	5	61	8	78	19	60	0	0	0	0	5	2	8	4	25	0	1324	626	0	14	15	102	33	89	24	94	63	0	107	23	38	36	51	0	8	20	9	0	1013	9	50	98	2	158	124	43	16	15	16	2	6	58	7	0	16	29	0	0	0	11	0	7	0	0	681	0	0	2	0	59	30	228	289	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	69	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P320SI1R.lib20	0	130	0	5	37	0	10	7	2	0	21	13	12	3118	68	6	0	19	78	68	0	209	118	0	0	0	377	368	166	180	26	350	0	0	257	145	22	147	11	0	0	0	0	10	0	0	0	206	5	12	16	240	46	12	824	257	624	257	0	0	155	15	0	0	786	12	10	7	61	11	214	37	183	0	0	3	0	15	7	23	0	77	0	2907	1019	5	21	11	100	65	71	17	88	54	0	79	24	31	23	77	7	9	34	0	0	2476	12	133	205	8	181	276	46	23	23	34	2	18	127	0	0	42	38	0	0	0	8	0	10	0	0	348	0	0	4	0	76	36	144	214	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	20	107	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
