"","alpha","lambda","auc","auc_czech","auc_no","auc_optimism_corrected","auc_optimism_corrected_CIL","auc_optimism_corrected_CIU","accuracy","accuracy_czech","accuracy_no","accuracy_optimism_corrected","accuracy_optimism_corrected_CIL","accuracy_optimism_corrected_CIU"
"pre_ltx vs healthy ASV terminal_ileum",0.4,0.301670682369945,0.5,0.5,0.5,0.49068966112017,0.403250915750916,0.561214464882943,0.510489510489511,NA,0.451219512195122,0.467075742220632,0.377651515151515,0.543707482993197
"pre_ltx vs post_ltx ASV terminal_ileum",0,92.069451730546,0.908178053830228,0.913351016799293,0.903858317520557,0.479463027771172,0.360732014573071,0.597384363285617,0.663461538461538,NA,0.621951219512195,0.599847453465042,0.525861925383078,0.651190476190476
"post_ltx vs healthy ASV terminal_ileum",0,104.905181077005,0.815366289458011,0.81540404040404,0.791763791763792,0.546351925885961,0.472773962450593,0.59362735122249,0.654028436018957,NA,0.541666666666667,0.597366267312996,0.469295774647887,0.683441558441559
"pre_ltx vs healthy genus terminal_ileum",0,117.069096105579,0.797847358121331,0.895021645021645,0.733928571428571,0.526170024842789,0.417570970695971,0.620175438596491,0.510489510489511,NA,0.48780487804878,0.490548049803338,0.424223163841808,0.5501540238737
"pre_ltx vs post_ltx genus terminal_ileum",0.8,0.111872907501081,0.5,0.5,0.5,0.563093753303449,0.496463629201681,0.615077469114736,0.663461538461538,NA,0.621951219512195,0.607268634678528,0.533984962406015,0.650545634920635
"post_ltx vs healthy genus terminal_ileum",0,96.2015279333919,0.738733373039508,0.736616161616162,0.687645687645688,0.624764448240638,0.559058080808081,0.697638233752621,0.654028436018957,NA,0.541666666666667,0.640405687118212,0.572476397966594,0.695330656185919
