feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4082.3.lib29	209	17706	118	37417	7686	2505	1599	0	0	93
4082.4.lib29	144	24521	99	29688	10696	3069	1968	0	0	49
4083.3.lib30	1126	9640	341	28305	0	548	0	3	0	0
4083.4.lib30	716	3709	108	15931	3	317	0	3	0	0
4084.2.lib29	400	7615	865	22390	3	1364	45	0	0	13
4084.3.lib29	343	13317	949	24146	10	2647	40	6	0	18
4084.4.lib29	538	15605	908	27572	0	3142	67	0	0	17
4086.2.lib27	73	3123	0	29307	0	1827	30081	0	0	15
4086.3.lib30	119	8154	0	31203	0	1831	48081	0	0	65
4086.4.lib30	16	1398	0	5479	0	479	3648	0	0	7
4092.2.lib27	205	25555	0	59549	66	3526	20	0	0	0
4092.3.lib30	120	12045	0	22431	9	702	9	0	0	0
4096.2.rerun.lib32	296	6111	62	20714	21	2142	0	0	0	0
4096.4.rerun.lib32	688	9763	116	20450	41	2462	0	0	0	0
4097.2.lib27	279	2361	147	8999	0	4426	0	0	18	0
4097.3.lib30	1092	19424	743	40485	0	5269	0	0	99	0
4111.2.lib27	307	15092	71	18169	28	1434	3	0	0	52
4111.3.lib30	633	23479	57	31036	35	2287	0	0	0	38
4111.4.rerun.lib32	618	3275	178	21346	33	617	8	0	0	85
4113.3.lib27	18	824	168	10534	0	200	9	0	0	0
4113.4.lib30	267	17292	791	34993	0	1301	36	0	0	0
4114.2.lib27	159	3680	0	34440	0	8	0	0	0	0
4114.3.rerun.lib32	31	7270	0	16842	0	190	0	0	0	0
4114.4.rerun.lib32	146	1809	0	26208	0	252	0	0	0	0
4116.2.lib27	280	25204	0	44488	16	4073	994	0	0	0
4116.3.lib30	76	8746	0	12576	8	1198	198	0	0	0
4116.4.lib30	48	1670	126	10927	0	239	55	2	10	0
4117.2.lib27	876	9431	0	24357	28	9854	0	0	0	0
4117.3.rerun.lib32	1155	1125	0	15717	10	4384	0	0	0	0
4117.4.lib30	384	7914	0	17563	36	14819	0	0	0	0
4119.2.lib27	523	12820	355	44107	11	1449	123	0	46	0
4119.3.lib30	1156	23669	980	74492	230	4047	239	0	80	0
4121.2.rerun.lib32	189	7655	0	8617	100	25738	0	20	0	0
4121.3.lib30	684	8320	0	26599	61	43662	0	70	0	0
4121.4.lib30	69	2907	0	4009	25	8282	0	25	0	0
4124.4.rerun.lib32	2882	15942	22	37217	0	2581	11	0	0	0
4125.2.rerun.lib32	291	11261	214	50465	0	855	28	0	0	0
4125.3.lib30	262	2659	23	12873	0	356	0	0	0	0
4128.2.lib27	947	26253	14	25146	11	2295	45	6	0	0
4128.3.lib30	1158	24571	0	29647	0	3897	31	0	0	0
4128.4.lib30	1178	12519	0	24738	2	3067	13	0	0	0
4130.2.lib27	31	15680	32	21372	0	471	3204	0	1814	0
4130.4.lib30	43	17724	18	16320	0	848	2324	0	1760	0
4131.2.lib27	1290	18845	31	29031	0	438	0	0	0	0
4131.3.lib30	695	6362	16	9782	0	219	0	0	0	0
4131.4.lib30	692	8169	33	9788	1	168	0	0	0	0
4132.2.lib27	453	14765	0	27394	0	268	0	0	0	0
4132.3.lib30	634	29819	0	34391	0	345	0	0	0	0
4132.4.rerun.lib32	288	19890	0	22677	0	315	0	0	0	0
4133.2.lib27	17	15024	0	11544	0	11107	0	0	0	0
4133.3.lib30	2	6846	0	6332	0	5719	0	0	0	0
4133.4.rerun.lib32	66	29452	0	21386	0	20584	0	0	0	0
4135.2.lib29	66	6598	0	10691	0	907	0	0	0	0
4135.3.lib29	77	8828	0	14454	0	1039	0	0	0	0
4135.4.lib29	38	11420	0	14719	0	1355	0	0	0	0
4136.2.lib29	14	11204	0	35455	0	4719	0	0	0	0
4136.3.lib29	110	15329	0	39032	0	9153	0	0	0	0
4136.4.lib29	20	12120	0	32056	0	4722	0	0	0	0
4139.2.lib27	147	13385	219	17969	0	1203	0	0	0	0
4139.3.lib30	45	4349	30	6080	0	365	0	0	0	0
4139.4.lib30	289	15567	319	20303	0	1229	0	0	0	0
4140.2.lib27	222	7726	0	17143	8	1890	1649	6	66	0
4140.3.rerun.lib32	334	4191	0	32928	0	2316	3163	5	48	0
4140.4.rerun.lib32	695	15576	0	34063	20	4753	4079	11	107	0
4141.2.lib27	149	17787	0	35756	3	561	319	18	0	0
4141.3.lib30	114	7348	0	12990	4	213	38	0	0	0
4141.4.lib30	78	5947	0	12781	0	142	48	0	0	0
4146.2.lib27	1768	11064	44	15566	0	5091	0	0	0	0
4146.3.lib30	2740	16208	57	17386	0	6914	0	0	0	0
4146.4.lib30	1948	12443	149	18989	8	4572	0	0	0	0
4147.2.lib27	170	2108	0	8753	0	23	0	0	0	0
4147.3.lib30	258	3120	0	7418	0	31	0	0	6	0
4147.4.rerun.lib32	992	6288	0	29586	0	173	3	0	0	0
4148.2.lib27	958	4608	0	22898	0	5846	0	0	0	0
4148.3.lib30	635	3806	0	9272	0	1328	0	0	7	0
4148.4.lib30	1213	5897	0	23934	0	10937	0	0	0	0
4149.2.lib27	1065	19121	2701	35061	4	3705	8	0	0	0
4149.3.lib30	554	6400	1111	13556	0	1155	0	0	0	10
4149.4.lib30	343	2439	741	6707	0	417	0	0	0	2
4150.2.lib27	2	27	0	28745	11	5214	0	5	0	0
4150.3.lib30	25	68	0	29991	21	5511	0	0	0	0
4150.4.lib30	13	50	0	26728	6	3643	0	7	0	0
4151.2.lib27	137	13664	5	53221	0	15327	0	0	0	0
4151.3.lib30	131	4871	28	9761	0	979	0	0	0	0
4151.4.rerun.lib32	579	11021	122	47692	0	10266	0	0	0	0
4156.2.rerun.rep.lib32	26	23979	0	24142	0	626	30	0	0	0
4156.3.rerun.lib32	30	10180	0	27226	0	414	0	53	140	0
4156.4.rerun.lib32	4	31337	0	16188	0	147	0	10	0	0
4158.2.lib27	108	22019	0	38129	14	375	1180	25	0	0
4158.3.lib27	12	17619	0	12977	4	214	244	8	0	0
4158.4.lib30	46	16841	0	13941	3	400	1256	25	0	0
4159.2.lib27	305	4617	0	24902	66	1422	0	0	0	0
4159.3.lib30	160	4417	0	13338	35	1022	0	0	0	0
4159.4.lib30	408	13376	0	40255	124	2688	0	139	0	29
4160.2.lib29	200	45112	0	31535	0	445	0	0	0	0
4160.3.lib29	0	31628	0	23498	0	342	0	0	0	0
4160.4.lib29	0	38604	0	30725	0	440	0	0	0	0
4161.2.lib29	79	963	0	29699	38	21738	0	2	0	0
4161.3.lib29	61	1021	0	18768	63	9290	0	0	0	0
4161.4.lib29	63	775	0	16316	44	3682	0	2	0	0
4163.2.lib27	886	22656	0	39494	0	5807	0	0	0	0
4163.3.lib30	470	14290	0	29118	0	3977	0	0	0	0
4163.4.lib30	530	32127	0	42772	0	12548	0	0	0	0
4166.2.lib27	212	9736	522	23705	0	1539	37	0	0	0
4166.3.lib30	186	19250	703	30456	0	2350	32	0	0	0
4166.4.lib30	555	7601	770	11239	0	286	4609	0	349	0
4167.2.lib27	245	8398	486	21126	0	1115	12	0	0	0
4167.3.lib30	586	8597	771	8681	0	248	3289	0	271	0
4167.4.rerun.lib32	481	23304	1050	37842	0	3048	85	0	0	0
4168.2.lib27	191	11836	0	11000	0	684	0	0	0	0
4168.3.lib30	137	7418	0	6660	0	278	0	0	0	0
4170.2.lib27	773	8806	842	12139	0	166	471	0	0	0
4170.3.rerun.lib32	2169	10538	1530	12436	0	334	761	0	0	0
4170.4.lib30	3756	19683	3596	36488	0	572	1305	4	0	0
4173.2.lib30	30	1751	0	10870	0	2670	6	0	0	0
