feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota	Synergistota
run07-Cah7-63	-4.61139691501817	-1.36040913821916	-14.706424068579	-9.88026376615412	-0.841801977005367	-14.2599638873753	-10.5907571489591	-7.90044164809175	-7.43547892348123	-14.5812594374085	-12.3564519702218
run07-Cah7-66	-3.49626933123488	-1.67014024708222	-7.36293008205487	-8.32730617232415	-0.915433535389477	-7.82687718181466	-11.3629300820549	-4.77796758133371	-5.9166738521653	-14.5812594374085	-12.3564519702218
run07-Cah7-69	-5.19492601919363	-2.34968553217867	-7.18712061670483	-7.61956116224512	-0.499109361217605	-14.2599638873753	-15.0043521571528	-5.46371134601453	-4.86311819357961	-14.5812594374085	-12.3564519702218
run07-Cah7-72	-5.86718512204369	-2.79566858698304	-14.706424068579	-8.71518202859864	-0.443294616210877	-14.2599638873753	-15.0043521571528	-5.97297978606629	-3.55476049984477	-14.5812594374085	-12.3564519702218
run07-Cah7-73	-3.25760476769532	-1.83506073335791	-8.76810361682239	-6.29276560727573	-0.801053131350761	-12.1256556214405	-15.0043521571528	-5.84025340257823	-6.87772810799689	-14.5812594374085	-12.3564519702218
run07-Cah7-75	-3.43463915718601	-2.00221674911406	-9.50767806349136	-7.47619983201819	-0.737159909614124	-10.6882503091332	-10.0715789486847	-4.33775306204905	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-77	-2.64549654815598	-2.56671679179315	-6.98781059099209	-14.0350568092386	-0.638265662796436	-14.2599638873753	-15.0043521571528	-5.59655047499637	-11.4252159032994	-14.5812594374085	-12.3564519702218
run07-Cah7-78	-4.06932391687045	-1.25625127922507	-14.706424068579	-9.39434019354538	-1.20861520688999	-14.2599638873753	-15.0043521571528	-3.57161004560086	-8.14858377914342	-14.5812594374085	-12.3564519702218
run07-Cah7-79	-4.36554899669758	-1.49249776099963	-14.706424068579	-12.0351427478859	-0.818275659906835	-12.7721083420521	-15.0043521571528	-5.12825215227739	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-80	-7.49813687005308	-5.46179502298936	-14.706424068579	-12.1128467141683	-3.64830096383435	-14.2599638873753	-15.0043521571528	-0.165209776216461	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-81	-3.57239652364022	-1.67868131677944	-14.706424068579	-10.6947931549999	-0.800733308725928	-14.2599638873753	-10.1098306542788	-5.15822213838107	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-82	-3.5171763210437	-2.36772409092707	-14.706424068579	-9.62388149001346	-0.533538902026906	-13.1474434460705	-11.8255153511831	-5.24356160033429	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-83	-3.25877628293337	-2.19375887669062	-14.706424068579	-10.4528295552686	-0.622314348291734	-12.2601844773262	-9.55974475918508	-5.35329388171766	-13.5341407363414	-10.675221976605	-12.3564519702218
run07-Cah7-84	-3.78842194755426	-1.97226275659141	-10.3518691276206	-7.30517589217258	-0.680188402460949	-14.2599638873753	-12.5997966410642	-5.05870002571468	-6.45004952155952	-14.5812594374085	-12.3564519702218
run07-Cah7-85	-2.43453673898906	-3.12622715360428	-14.706424068579	-12.2301705834958	-0.535486233129667	-14.2599638873753	-15.0043521571528	-6.59354596295219	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-86	-2.58989922320545	-2.6947953641461	-14.706424068579	-8.80227401077271	-0.577669329234215	-14.2599638873753	-15.0043521571528	-7.12420210566008	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-87	-6.68026183620346	-2.01155588856405	-11.5022635342255	-10.0616909428395	-0.454457980217878	-14.2599638873753	-15.0043521571528	-6.77823699576676	-8.91730103350431	-14.5812594374085	-12.3564519702218
run07-Cah7-88	-4.88557781352991	-1.83763500664984	-4.82322173618426	-6.90095303941683	-0.766526719195901	-14.2599638873753	-15.0043521571528	-4.20846207439123	-10.3297963382207	-14.5812594374085	-12.3564519702218
run04-51	-4.81163613841867	-2.37362591584692	-14.706424068579	-14.0350568092386	-0.480834971614063	-14.2599638873753	-15.0043521571528	-4.18787270630168	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-91	-3.13196167228536	-3.04678942962294	-10.431932819514	-14.0350568092386	-0.455249371418787	-11.6949672253478	-15.0043521571528	-4.85702398345673	-13.5341407363414	-14.5812594374085	-12.3564519702218
run02-75	-4.20161687139698	-14.1365906637914	-14.706424068579	-14.0350568092386	-0.748736495199844	-12.0518037090428	-15.0043521571528	-1.51337224609275	-13.5341407363414	-14.5812594374085	-12.3564519702218
run06-81	-5.95290299336535	-3.83874753054166	-14.706424068579	-12.9301829168653	-0.270187024435294	-12.3452204161441	-15.0043521571528	-3.86813677914478	-5.97018098479719	-14.5812594374085	-12.3564519702218
4004.I.1.lib30	-6.91451512810443	-1.74480794126824	-14.706424068579	-14.0350568092386	-0.732876706098328	-8.82336724004623	-15.0043521571528	-3.48315379213112	-13.5341407363414	-14.5812594374085	-12.3564519702218
4029.1.rerun.lib32	-4.00733583846352	-3.65068838185824	-14.706424068579	-14.0350568092386	-3.37221054300427	-14.2599638873753	-15.0043521571528	-0.392856291266497	-13.5341407363414	-14.5812594374085	-12.3564519702218
4082.1.lib29	-8.76339681929063	-2.60277835922217	-14.706424068579	-10.7109293993965	-0.660497667950167	-2.60315187250345	-15.0043521571528	-5.40454215540491	-6.62954107255584	-14.5812594374085	-9.34835932001179
4084.1.lib29	-6.94365622546528	-2.34301940435764	-14.706424068579	-6.14326525115744	-0.586961104277593	-14.2599638873753	-14.0043521571528	-3.13475831391205	-11.0043521571528	-14.5812594374085	-11.0043521571528
4135.1.lib29	-6.95273185491581	-1.84542195836728	-14.706424068579	-14.0350568092386	-0.550806369024677	-14.2599638873753	-15.0043521571528	-5.01089856232594	-13.5341407363414	-14.5812594374085	-12.3564519702218
4136.1.lib29	-12.4094351356763	-2.29960448139755	-14.706424068579	-14.0350568092386	-0.520945547445267	-14.2599638873753	-15.0043521571528	-3.3250696320016	-13.5341407363414	-14.5812594374085	-12.3564519702218
4160.1.lib29	-11.8295245490783	-1.27244382997305	-14.706424068579	-14.0350568092386	-0.784857217894268	-14.2599638873753	-15.0043521571528	-7.5441223302161	-13.5341407363414	-14.5812594374085	-12.3564519702218
4161.1.lib29	-9.01074787510953	-5.25535157553613	-14.706424068579	-14.0350568092386	-0.821911802078998	-9.31560245663795	-15.0043521571528	-1.30536233436363	-13.5341407363414	-14.5812594374085	-12.3564519702218
4191.1.lib29	-7.35725776321043	-1.74846829553529	-14.706424068579	-8.71089471782513	-1.1351453952653	-12.7739045153509	-15.0043521571528	-2.07755790371236	-9.41133443596622	-13.5812594374085	-12.3564519702218
M001.TI	-6.35877489903261	-1.85171539008085	-6.6664423007948	-14.0350568092386	-0.690195120348116	-14.2599638873753	-15.0043521571528	-3.62348227205234	-13.5341407363414	-14.5812594374085	-12.3564519702218
M002.TI	-7.71580341035671	-2.26272302906864	-14.706424068579	-6.1268053964004	-1.74924343105082	-1.16715956143726	-15.0043521571528	-5.09000249310838	-11.1511895550274	-14.5812594374085	-12.3564519702218
M003.TI	-9.36203147289583	-2.21961803502209	-9.00588766267056	-7.89736320589239	-1.2333668863558	-14.2599638873753	-15.0043521571528	-1.50504578311363	-13.5341407363414	-14.5812594374085	-12.3564519702218
M004.TI	-4.77500981312882	-1.86070412870894	-11.1465686757408	-7.2590434049992	-0.597361586385103	-14.2599638873753	-15.0043521571528	-5.67408090427804	-13.5341407363414	-10.6611418485705	-12.3564519702218
M005.TI	-7.50130914920989	-1.86128560407842	-12.1160189933251	-5.95111206664941	-0.887801551031659	-14.2599638873753	-15.0043521571528	-4.59834960519128	-3.04522718390203	-14.5812594374085	-12.3564519702218
M006.TI	-5.87039306580342	-2.65834258868843	-14.706424068579	-9.08067580486188	-0.461977912618638	-14.2599638873753	-10.6352646565395	-3.38023608672078	-13.5341407363414	-14.5812594374085	-12.3564519702218
M007.TI	-11.4371278442728	-1.919458456139	-14.706424068579	-8.33279118445807	-1.05277578031101	-2.35710981518363	-15.0043521571528	-4.18540875166685	-13.5341407363414	-14.5812594374085	-12.3564519702218
M008.TI	-9.07825525036331	-2.06149540045617	-14.706424068579	-8.48911707367096	-0.838687850914723	-11.4643136826704	-15.0043521571528	-2.62067808746477	-4.89101077272097	-14.5812594374085	-12.3564519702218
M010.TI	-7.62199027759689	-2.30461566899636	-11.5168080409048	-11.5168080409048	-0.67799805519627	-14.2599638873753	-15.0043521571528	-2.58754963226786	-11.1948799460175	-14.5812594374085	-12.3564519702218
M011.TI	-8.08399064934353	-2.6457319237958	-8.78443036748463	-10.7844303674846	-0.29600439966343	-14.2599638873753	-15.0043521571528	-5.82249840831815	-9.36939286820578	-14.5812594374085	-12.3564519702218
M012.TI	-6.96232089564643	-2.18044694399803	-9.25227660079551	-9.60921114551079	-0.677229568939439	-11.535210564067	-15.0043521571528	-2.81456727520274	-10.6872136575121	-14.5812594374085	-12.3564519702218
M013.TI	-6.1289952405433	-3.5690059341364	-13.706424068579	-11.9694584744128	-0.171837474269861	-14.2599638873753	-15.0043521571528	-6.24153801984964	-12.2913865693002	-14.5812594374085	-12.3564519702218
M014.TI	-5.92900104877527	-2.16773890460766	-14.706424068579	-9.64520808277468	-0.472066368648828	-14.2599638873753	-15.0043521571528	-4.68603409623342	-13.5341407363414	-14.5812594374085	-12.3564519702218
M015.TI	-6.34325427059304	-2.64761782218551	-8.34325427059303	-7.01776835629248	-0.339363355005459	-14.2599638873753	-15.0043521571528	-5.32995744797958	-8.92821677131419	-14.5812594374085	-12.3564519702218
M016.TI	-8.52943055414615	-2.19335320180073	-9.83755284950848	-8.73801717595757	-0.481677422697783	-12.2298702722872	-12.2298702722872	-4.11612810623805	-9.98194275884366	-14.5812594374085	-12.3564519702218
M017.TI	-4.7365076348785	-2.25302771957383	-6.00179801465266	-8.66325865284786	-0.549361793547541	-14.2599638873753	-12.7365076348785	-5.93345285025452	-4.84472393166019	-14.5812594374085	-12.3564519702218
M022.TI	-5.59843911395595	-1.96692566480328	-14.706424068579	-9.50659467680105	-0.568601458186468	-12.0540824721035	-15.0043521571528	-4.39038753523658	-13.5341407363414	-14.5812594374085	-12.3564519702218
M023.TI	-6.68029265657615	-2.7585774135242	-8.96214331208817	-12.1519678709682	-0.365340881535621	-14.2599638873753	-15.0043521571528	-3.96647294675732	-13.5341407363414	-14.5812594374085	-12.3564519702218
P301TI1R.lib20	-4.98160344319408	-1.49106333730623	-7.91832926834337	-7.57502752266344	-0.902602180691941	-12.9844184588011	-15.0043521571528	-4.07302647095768	-6.83467133929646	-14.5812594374085	-12.3564519702218
P302TI1R.lib21	-4.8999347166004	-2.83312313113435	-5.61925734997936	-7.85231669636766	-0.393736979166921	-14.2599638873753	-15.0043521571528	-4.63730380539681	-12.5341407363414	-14.5812594374085	-12.3564519702218
P304TI1R.lib21	-5.78518930274508	-3.38466837094093	-14.706424068579	-10.1596679196862	-0.27801119362853	-14.2599638873753	-15.0043521571528	-4.05654935229032	-13.5341407363414	-11.2069736344645	-12.3564519702218
P305TI1R.lib20	-7.71371009548856	-0.950691788552762	-14.706424068579	-9.28005691804237	-1.5305742203197	-14.2599638873753	-12.9804966361835	-2.94363618951041	-13.5341407363414	-14.5812594374085	-12.3564519702218
P306TI1R.lib21	-7.42137471044011	-1.49163880982217	-10.7356896212176	-7.3911600973931	-0.820911116178763	-6.86467606193767	-15.0043521571528	-4.14126679124737	-10.5241855160239	-14.5812594374085	-12.3564519702218
P307TI1R.lib21	-5.92503472775405	-2.2671542872957	-8.54909704816415	-8.96942884711251	-0.542424185543577	-12.4719291876417	-15.0043521571528	-3.58877680198475	-10.1989106932353	-14.5812594374085	-11.3564519702218
P308TI1R.lib20	-7.52902189082237	-2.32684110538729	-9.14793172346686	-9.0973056503969	-0.645810291683362	-14.2599638873753	-15.0043521571528	-5.76546208664445	-2.89797176774176	-14.5812594374085	-12.3564519702218
P310TI1R.lib21	-6.037877328301	-1.91644011988712	-7.94759396798828	-13.0350568092386	-0.758060069941503	-14.2599638873753	-15.0043521571528	-3.03928965836082	-8.49589799813059	-14.5812594374085	-12.3564519702218
P314TI1R.lib21	-4.94603717179277	-1.98794080485403	-7.38480931986397	-11.9359835071288	-0.692478910862347	-14.2599638873753	-15.0043521571528	-3.4670201263189	-13.5341407363414	-14.5812594374085	-12.3564519702218
P318TI1R.lib21	-6.80191283698936	-2.14870084017349	-7.89155004947403	-9.17695226833628	-0.459275845269885	-14.2599638873753	-11.8550241734489	-4.96749890270733	-13.5341407363414	-14.5812594374085	-12.3564519702218
P320TI1R.lib20	-7.27089854302514	-1.60751638557207	-6.2629933449398	-5.31108763314084	-0.798732168001013	-14.2599638873753	-15.0043521571528	-4.63403494039196	-6.57902083838748	-14.5812594374085	-9.31926156458654
P321TI1R.lib21	-8.10128788427836	-3.99908302395146	-14.706424068579	-9.49360530705712	-0.12764745574818	-14.2599638873753	-15.0043521571528	-6.02871925832771	-9.1243714973914	-14.5812594374085	-12.3564519702218
P323TI1R.lib20	-4.32846463346319	-3.27174708168264	-9.70002349607515	-9.09595217240629	-0.294967150201341	-14.2599638873753	-15.0043521571528	-5.26973822309737	-8.56251997232522	-14.5812594374085	-12.3564519702218
P325TI1R.lib20	-5.14230075373396	-2.10637353378644	-10.1522848423066	-7.60796432608277	-0.584012004338325	-14.2599638873753	-15.0043521571528	-4.68739879357718	-5.1826584913501	-14.5812594374085	-12.3564519702218
P326TI1R.lib20	-3.68631669988198	-2.32701099518059	-10.3530732917668	-10.2599638873753	-0.605215991670845	-13.2599638873753	-15.0043521571528	-3.96649223853717	-13.5341407363414	-14.5812594374085	-12.3564519702218
P329TI1R.lib20	-8.33782459887249	-1.88436688127982	-14.706424068579	-10.7972562175098	-0.599220509310528	-12.3822187182309	-15.0043521571528	-3.95176616656541	-10.7972562175098	-14.5812594374085	-12.3564519702218
P333TI1R.lib20	-6.69731781592777	-2.47253087945094	-8.09383522723582	-9.46061755790744	-0.344957824826449	-9.90119014929342	-12.708545071351	-5.96707808494988	-10.708545071351	-14.5812594374085	-12.3564519702218
P334TI1R.lib20	-5.0229213313014	-3.30373043886317	-14.706424068579	-9.63763117541661	-0.281301483030319	-14.2599638873753	-15.0043521571528	-4.51063996997963	-13.5341407363414	-14.5812594374085	-12.3564519702218
