feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Rikenellaceae_RC9_gut_group	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Izemoplasmatales	Abiotrophia	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Angelakisella	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Pseudomonas	Akkermansia	Corynebacterium	Leucobacter	Cutibacterium	Dysgonomonas	Parasediminibacterium	Campylobacter	Faecalitalea	Enterococcus	Vagococcus	Staphylococcus	Clostridium_sensu_stricto_5	Allisonella	Asticcacaulis	Pseudochrobactrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Comamonas	Aeromonas	Klebsiella	f__Enterobacteriaceae.g__unassigned	Morganella	Proteus	Providencia	Actinobacillus	Shewanella	f__Yersiniaceae.g__unassigned	Halomonas	Dyella
P302TI1R.lib21	0	0.0116705192535378	0.0001127586401308	0	0	0.0096408637311834	0.0003946552404578	0.0016350002818966	0.0001127586401308	0	0	0	0.0100355189716412	0	0.110841743248576	0	0	0	0	0	0	0	0	0	0	0	0.0147150025370694	0	0.0145458645768732	0.0006765518407848	0.0204093138636748	0.004228449004905	0	0.0001127586401308	0	0	0.005356035406213	0.0416079382082652	0.0001691379601962	0	0.0010148277611772	0	0	0.0007329311608502	0	0	0	0.0024243107628122	0.0001127586401308	0	0	0	0.0027625866832046	0	0.0055815526864746	0.0002255172802616	0	0	0	0.003382759203924	0.0094153464509218	0.0498393189378136	0.0016350002818966	0.0041156903647742	0.0154479336979196	0	0	0.020014658623217	0.0001691379601962	0	0.0001691379601962	0.025652590629757	0.0001127586401308	0.000281896600327	0.0042848283249704	0.000563793200654	0	0	0.0023115521226814	0.0009584484411118	0.000281896600327	0	0.000563793200654	0	0.0001127586401308	0.000281896600327	0	0.0002255172802616	0	0.0075548288887636	0.0001127586401308	0	0.0003382759203924	0.0071601736483058	0	0.31927608953036	0.0601567345097818	0.000281896600327	0.0027625866832046	0	0.0018605175621582	0.0019168968822236	0.0049050008456898	0	0.0015222416417658	0.0007893104809156	0	0.0029317246434008	0.0012967243615042	0.000563793200654	0	0.0019168968822236	0.0003946552404578	0	0	0	0	0.129616056830355	0	0.001409483001635	0	0	0.0037774144443818	0.0071037943282404	0.0002255172802616	0.0020860348424198	0	0.0007329311608502	0.0001691379601962	0.0005074138805886	0	0	0	0.0003946552404578	0.0009584484411118	0	0	0	0	0	0	0	0	0	0.0001691379601962	0	0	0	0	0.004792242205559	0.000281896600327	0.0298246603145966	0.003100862603597	0	0	0.0001691379601962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P304TI1R.lib21	0	0.00678445229681979	0	0	0	0.00596466431095406	0	0	0	8.48056537102473e-05	0	0.00226148409893993	0	0.00296819787985866	0.0902897526501767	0.000508833922261484	0.00031095406360424	0	0.000169611307420495	0.000254416961130742	0.000565371024734982	0	0	0	0	0	0.000480565371024735	8.48056537102473e-05	0.00291166077738516	0.000395759717314488	0	0.000197879858657244	0.000678445229681979	0	0	0	0.00288339222614841	0.0749399293286219	0	0	0	0	0.00243109540636042	0	0	0	0	0	0.000452296819787986	0	0	0	0.0014416961130742	0	0	0.000169611307420495	0.056	0	0	0.00989399293286219	0.00217667844522968	0.0436749116607774	0.0170459363957597	0.0202968197879859	0.0233498233215548	0	0	0.0391519434628975	0.00132862190812721	0.00101766784452297	0.000141342756183746	0.0255265017667845	0.000113074204946996	0.0017243816254417	0.00647349823321555	0.00031095406360424	0.000141342756183746	0	0.0113356890459364	0.00212014134275618	0.00101766784452297	0	0.0314628975265018	0	0	5.65371024734982e-05	0	0.00209187279151943	0	0.00268551236749117	0	0.000706713780918728	0	0.00743462897526502	0	0.0384452296819788	0.142162544169611	0.000113074204946996	0.023547703180212	0	0.000678445229681979	0	0.000282685512367491	0	0	0	0	0	0.000395759717314488	0	0.000678445229681979	0	0	0	0	0	0	0.170459363957597	0	0.000593639575971731	0	0	0	0.00599293286219081	0	0.000254416961130742	0	0.000706713780918728	0	0	0	0	0	0	0	0	0	0	0.046530035335689	0	0.000508833922261484	0	0	0.00361837455830389	0	0	0.000282685512367491	0	0	8.48056537102473e-05	0.00031095406360424	0.0185159010600707	0.0409328621908127	0	0.000395759717314488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P305TI1R.lib20	0.00024754007054892	0.00030942508818615	0.00055696515873507	0.00043319512346061	0	0.00111393031747014	0	0.00030942508818615	0.00092827526455845	0	0	0	0	0.00086639024692122	0.451451203663593	0	0	0	0	0	0	0	0	0	0	0	0.00606473172844854	0	0.0600284671081131	0	0	0.00160901045856798	0	0	0	0	0.00594096169317408	0.0101491428925057	0.00037131010582338	0.0157806794974937	0	0	0	0.00012377003527446	0	0.00030942508818615	0	0	0.00847824741630051	0	0	0.00037131010582338	0.00241351568785197	0	0	0	0	0	0	0.00055696515873507	0.00235163067021474	0.0561297109969676	0.0126245435979949	0.0037131010582338	0.0171421498855127	0	0	0.00179466551147967	0.00030942508818615	0	0	0.0485797388452256	0	0.00049508014109784	0.00198032056439136	0.00198032056439136	0	0	0.00241351568785197	0.00352744600532211	0.00018565505291169	0.00030942508818615	0.00625038678136023	0	0	0	0	0.00030942508818615	0	0.00210409059966582	0	0	0	0.0018565505291169	0.0181941951853456	0.00482703137570394	0.028776533201312	0	0.0018565505291169	0	0	0.00154712544093075	0.00092827526455845	0	0.0018565505291169	0	0	0.0018565505291169	0.00074262021164676	0.00012377003527446	0	0.00043319512346061	0	0	0.00043319512346061	0	0	0.0242589269137942	0	0.00829259236338882	0	0	0	0.00136147038801906	0.00018565505291169	0	0	0	0	0	0.00129958537038183	0	0	0	0	0	0	0.00024754007054892	0.0384305959527198	0	0	0	0	0	0	0	0.00204220558202859	0	0.00012377003527446	0	0.0136765888978278	0	0.106813540441859	0.00637415681663469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284671081131258	0	0	0	0
P306TI1R.lib21	0.000123862017712269	0	0	0	0	0	0.000123862017712269	0.00130055118597882	0.00402551557564873	0	0.00021675853099647	0	0	0	0.296835325447452	0.0210255775066576	0.00346813649594352	0	0.00210565430110856	0.00294172292066638	0	0	0.00043351706199294	0	0	0	0.0140893045147705	0	0.0158543382671704	0	0.000588344584133276	0.00523317024834335	0.000743172106273611	0	0	0	0.0185793026568403	0.00950640985941661	0.00139344769926302	0	0.00151730971697529	0	0	0.00111475815941042	0	0	0	0	0.000928965132842014	0	0	6.19310088561343e-05	0.00065027559298941	0.00123862017712269	0.00086703412398588	0.000340620548708738	0	0.000123862017712269	0	0.00544992877933982	0.004149377593361	0.0419272929956029	0	0.00501641171734688	0.00619310088561343	0.00105282715055428	0.0022604818232489	0.00746268656716418	0.000278689539852604	0	0	0.213754877066947	0.00114572366383848	0.000123862017712269	0	0.000123862017712269	0	0	0.000371586053136806	0.00334427447823125	0.000681241097417477	0	0.00387068805350839	0.00990896141698148	0	0.00065027559298941	0	0.00108379265498235	0.000402551557564873	0.00529510125719948	0	0.000247724035424537	0	0.0117049606738094	0.00619310088561343	0.056264321545798	0.0129745463553601	0.00136248219483495	0.00786523812472905	0	0.00665758345203443	0.00179599925682789	0.00154827522140336	0.00114572366383848	0.00213661980553663	0.000185793026568403	0	0.00597634235461696	0.00086703412398588	0.00123862017712269	0	0.00356103300922772	6.19310088561343e-05	0	0	0.000340620548708738	0	0.0576268037406329	0.000712206601845544	0.00448999814206973	0.000340620548708738	6.19310088561343e-05	0.00139344769926302	0.00126958568155075	0.000557379079705208	0	0	0.000619310088561343	0	0	0.00195082677896823	0.000340620548708738	0	0.00108379265498235	0.00043351706199294	0	0.000464482566421007	0	0.00179599925682789	0	0.000278689539852604	0.000712206601845544	0.00102186164612622	0.0157924072583142	0	0	0	0.00860841023100266	0	0.0018888957701121	0	0.0458289465535394	0.00560475630148015	0.000123862017712269	0.00297268842509444	0.000681241097417477	0	0	0	0	0	0	0.000805103115129745	0	0	0	0	0	0	0	0	0	0	0	0	0.00043351706199294	0	0	0	0	0	0	0	0
P307TI1R.lib21	0	0.00273827400406325	0	0	0	0.00833259723817095	0.000382769484438948	0.000206106645467126	0	0	0	0.00194329122869004	0.000500544710420163	0.0024143921326149	0.135559285104378	0.00338603774695993	0.00385713865088479	0	0.000500544710420163	0.00129552748579336	0	0	0.00621264317050908	0	0.033830933663104	0.000559432323410771	0.00803815917321791	0.000176662838971822	0.0121602920825604	0.00291493684303507	0.00267938639107264	0	0.00200217884168065	0	0.00462267761976268	0	0.00105997703383093	0.0108058769837765	0	0.0169007449283043	0.000176662838971822	0	0	0	0	5.88876129906074e-05	0	0	0.00347436916644584	0.000117775225981215	0	0.000294438064953037	0.00856814769013338	0.000412213290934252	0.00429879574831434	0.000736095162382593	0.000323881871448341	0	5.88876129906074e-05	0.000412213290934252	0.0032093749079881	0.0690162824249919	0.00815593439919913	0.0252627859729706	0.0155168860230251	0	0	0.0121308482760651	0.00135441509878397	0	0	0.0307393339810971	0.000559432323410771	0.000971645614345022	0.00179607219621353	0.0016194093572417	0	0	0.00220828548714778	0.00435768336130495	0.0015605217442511	0	0.00456379000677208	0	0	0	0	0.00418102052233313	0	0.00577098607307953	0.000618319936401378	0.000353325677943645	0	0.00362158819892236	0	0.0343020345670288	0.106851573771457	0.000647763742896682	0.0016194093572417	0	0.00282660542354916	0.00153107793775579	0.00147219032476519	0.000942201807849719	0.000323881871448341	0.000117775225981215	0	0.00447545858728616	0.00117775225981215	0.00353325677943645	0.00023555045196243	0.00023555045196243	0.00114830845331684	0	0.000117775225981215	0	0	0.245502458557842	0.00312104348850219	0.00338603774695993	0	0	0.00211995406766187	0.00524099755616406	8.83314194859111e-05	0.00150163413126049	8.83314194859111e-05	0.00203162264817596	0	0.000647763742896682	0.00100108942084033	0.000412213290934252	0	0.000942201807849719	0	0	0	0	0.00285604923004446	0	0.00200217884168065	0	0	0	0.00250272355210082	0	0.000971645614345022	0.000176662838971822	0	0.000294438064953037	0.000147219032476519	0.0808821364425993	0.0016194093572417	0.000471100903924859	0	0.000853870388363808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P308TI1R.lib20	0	0	0	0	0	0.00334195094268239	0.000126111356327637	0.000441389747146731	0	0	0	0.000630556781638186	0.000378334068982912	0.000504445425310549	0.118796897660634	0.0223847657481556	0.00523362128759695	0	0.00365722933350148	0.00409861908064821	0	0	0.00107194652878492	0	0.00233306009206129	0.00208083737940602	0.0336717321394792	0	0.00605334510372659	0.000252222712655275	0.00176555898858692	0.00182861466675074	0	0	0	0	0	0.000567501103474368	0	0	0	0.000756668137965824	0.000315278390819093	0	0.00107194652878492	0	0	0	0.000567501103474368	0	0.000504445425310549	0	0.00807112680496879	0.000882779494293461	0.00561195535657986	0.000441389747146731	0.00157639195409547	0	0	0.00176555898858692	0.000252222712655275	0.0208083737940602	0.00800807112680497	0.048678983542468	0.0104041868970301	0	0	0.00145028059776783	0.00151333627593165	0	0	0.0286903335645375	0.000252222712655275	0.000630556781638186	0.000315278390819093	0.000378334068982912	0.000378334068982912	0	0.00220694873573365	0.00119805788511255	0.000189167034491456	0	0.0047291758622864	0	0	0	0	0.000378334068982912	0	0.00498139857494167	0	0	0.000378334068982912	0	0.00132416924144019	0.0145028059776783	0.07926098745192	0	0.000189167034491456	0	0.00233306009206129	0.000315278390819093	0.00718834731067533	0.000315278390819093	0.00315278390819093	0.000378334068982912	0.000252222712655275	0.00409861908064821	0.0017025033104231	0.00933224036824516	0.000252222712655275	0.00113500220694874	0	0.000252222712655275	0	0	0	0.317800617945646	0	0.00359417365533766	0.00157639195409547	0.000252222712655275	0.0037202850116653	0.00447695314963112	0.000882779494293461	0	0	0.00119805788511255	0.00157639195409547	0	0.000315278390819093	0.00258528280471656	0.000252222712655275	0.0010088908506211	0	0	0	0	0.0122328015637808	0	0.000756668137965824	0.000630556781638186	0.00119805788511255	0	0.000882779494293461	0	0	0	0	0.00182861466675074	0.00107194652878492	0.0150072514029888	0	0.000126111356327637	6.30556781638187e-05	0.134371650167098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P310TI1R.lib21	0	0.00182094987910087	0	0	0	0.0110152541866921	0	0.000149258186811547	0	0	0	0.000746290934057733	0.000507477835159258	0.00101495567031852	0.214603420997642	0.00991074360428669	0	0	0.00086569748350697	0.00113436221976775	0.0129854622526046	0	0.0022388728021732	0.00158213678020239	0	0	0.0104779247141706	0	0.0117018418460253	0	0.00405982268127407	0.000119406549449237	0	0	0	0.00692557986805576	0.000656736021970805	0.00158213678020239	0	0.0012836204065793	0	0	0	0	0	0	0	0	0.00200005970327472	0.000328368010985403	5.97032747246186e-05	0	0.00295531209886862	0	0.00101495567031852	0	8.9554912086928e-05	0	0.000149258186811547	0.00316427356040479	0.0096122272306636	0.103047852174692	0.0277023194722231	0.0104779247141706	0.043523687274247	0	0	0.00528373981312875	0.00158213678020239	0	0	0.0272843965491507	0.0022388728021732	0.000805994208782352	0.00214931789008627	0.00146273023075316	0	0.000268664736260784	0.0060897340219111	0.00394041613182483	0.00173139496701394	0	0.00441804232962178	0	0.000179109824173856	0.000388071285710021	0	0.00274635063733246	0	0.00922415594495358	0	0.000208961461536165	5.97032747246186e-05	0.000537329472521568	0	0.0558524135048807	0.0398817875160453	0.00182094987910087	0.00200005970327472	0	0.00504492671423028	0	0.0022388728021732	0	0.00176124660437625	0	0	0.00125376876921699	0.00152243350547778	0.000179109824173856	0.000567181109883877	0.000328368010985403	0	0	0.000268664736260784	0	0	0.161467506492731	0	0.00549270127466491	0	0	0.00391056449446252	0.00522403653840413	0	0	0	0.000537329472521568	0	8.9554912086928e-05	0.00086569748350697	0.00202991134063703	0	0.000686587659333114	0.000149258186811547	0	0	0	0.00116421385713006	0	0.000417922923072331	0	0	0.00797038717573659	0	0	0.00247768590107167	0	0	0.0151049285053285	0.00086569748350697	0.103376220185677	0.00220902116481089	0.000358219648347712	0	0.00277620227469477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P314TI1R.lib21	0.000171727868570938	0.00503735081141418	0	0	0	0.0105326426056842	0	0.00641117375998168	5.72426228569793e-05	0	0.000143106557142448	0.0103895360485417	0	0	0.199490540656573	0.00938779014854461	0.00472251638570079	0	0	0.00463665245141532	0	0	0	0	0	0	0.0167434671856664	0	0.0174303786599502	0	0.00603909671141132	0.000257591802856407	0	0	0	0	0.000486562294284324	0.00918744096854518	0	0	0	0.00254729671713558	0	0	0.000171727868570938	0	0	0	0.000486562294284324	0	0	0	0.00483700163141475	0	0.00844328687140445	0	0	0	0	0.00263316065142105	0.00280488851999199	0.0518904376198517	0.0119350868656802	0.034545922894187	0.0147399753856722	0	0	0.0107329917856836	0.000286213114284897	0.00125933770285354	0	0.0472537851684364	0	0.000257591802856407	0.00309110163427688	0	0	0	0.00512321474569965	0.00901571309997424	0.00518045736855663	0	0.00306248032284839	0	0	0	0.000429319671427345	0.000515183605712814	8.5863934285469e-05	0.0091301983456882	0	8.5863934285469e-05	0	0.00125933770285354	0.00151692950570995	0.0708091244740834	0.0853201293683277	0.000228970491427917	0.00621082457998226	0.000744154097140731	0.00835742293711898	0.0013738229485675	0.00503735081141418	0.000257591802856407	0.00177452130856636	0.000744154097140731	0	0.00515183605712814	0.000200349179999428	0.00234694753713615	0.000400698359998855	0.00154555081713844	0.000686911474283752	0	0	0	0	0.146426629268153	0.000143106557142448	0.000114485245713959	0.00151692950570995	0	0.00180314261999485	0.00764189015140674	0.000572426228569793	0.00143106557142448	0.000171727868570938	0.000772775408569221	0.000543804917141303	0.000486562294284324	0.000457940982855834	0	0.00300523769999141	0.000171727868570938	0.000715532785712241	0	0	5.72426228569793e-05	8.5863934285469e-05	0	0	0	0	0.01648587538281	0.000257591802856407	0	0.000228970491427917	0	0	0.0211797704570823	0.0008300180314262	0.0455078851712985	0.0237556884856464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P318TI1R.lib21	0	0.00351351351351351	0	0	0	0.00383783783783784	0	0.000162162162162162	0	0	0	0	0.000540540540540541	0.000918918918918919	0.0363243243243243	0.0297297297297297	0.00108108108108108	0.000378378378378378	0.0032972972972973	0.000162162162162162	0	0.0791351351351351	0.00124324324324324	0.00497297297297297	0.0461081081081081	0	0.000378378378378378	0.00259459459459459	0.0194054054054054	0	0.00421621621621622	0.00140540540540541	0	0.000324324324324324	0.00151351351351351	0	0	0.00108108108108108	0	0	0.000162162162162162	0	0	0	0	0	0.000162162162162162	0	0.00124324324324324	0	0	0.000216216216216216	0.0153513513513514	0.00027027027027027	0.00151351351351351	0.000108108108108108	0	0	0.000108108108108108	0.000324324324324324	0.000864864864864865	0.0200540540540541	0.00378378378378378	0.0192432432432432	0.0147567567567568	0	0	0.00302702702702703	0.000648648648648649	0.00151351351351351	0	0.018972972972973	0.000108108108108108	0.00162162162162162	0.000378378378378378	0.00248648648648649	0	0	0.00454054054054054	0.0157297297297297	0.000864864864864865	0	0.00243243243243243	0	0	0	0	0	0	0.00178378378378378	0.000432432432432432	0	0	0	0	0.222378378378378	0.0545405405405405	0.000108108108108108	0.00302702702702703	0	0.00491891891891892	0.000756756756756757	0.0027027027027027	0	0.000864864864864865	0.00027027027027027	0	0.006	0.000810810810810811	0.00318918918918919	0.000486486486486486	0	0	0	0	0	0	0.239297297297297	0	0.000378378378378378	0.00162162162162162	0	0.000486486486486486	0.00654054054054054	0	0	0	0.000864864864864865	0.000486486486486486	0	0.000378378378378378	0	0.000864864864864865	0.00621621621621622	0.000324324324324324	0	0	0	0	0	0.000162162162162162	0	0	0.0345945945945946	0	0	0.000432432432432432	0	0.00027027027027027	0.00264864864864865	0	0.0291891891891892	0	0.000162162162162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P320TI1R.lib20	0	0.0035631180919139	0	0	0	0.00029086678301338	0.000218150087260035	0.000363583478766725	0.00072716695753345	0	0	0.00087260034904014	0.00029086678301338	0.00029086678301338	0.222658522396742	0.00538103548574753	0.000799883653286795	0	0.00319953461314718	0.00683536940081443	0.00341768470040721	0	0.012216404886562	0	0	0	0.0287958115183246	0	0.0243600930773706	0.00916230366492147	0.0133071553228621	0.00269051774287376	0.0230511925538104	0	0	0	0.0050174520069808	0.00479930191972077	0.0014543339150669	0.00516288539848749	0.00029086678301338	0.000218150087260035	0	0	0	0	0	0	0.000509016870273415	0	0	0	0.0162885398487493	0.000363583478766725	0.00109075043630017	0.00239965095986038	0.00945317044793485	0.00014543339150669	0	0.00305410122164049	0.00029086678301338	0.0295229784758581	0.0079261198371146	0.0221058755090169	0.00930773705642816	0.000363583478766725	0	0.00654450261780105	0.00101803374054683	0	0	0.0250145433391507	0.000218150087260035	0.000363583478766725	0.00101803374054683	0.00530831878999418	0	0	0.000799883653286795	0.00538103548574753	0.002108784176847	0	0.0043630017452007	0	0	0.000218150087260035	0.00552646887725422	0.00029086678301338	0.00029086678301338	0.000363583478766725	0.00043630017452007	0.00058173356602676	0.00014543339150669	0.00349040139616056	0	0.120346131471786	0.0430482838859802	0	0.00109075043630017	0.000509016870273415	0.0087260034904014	0.00349040139616056	0.00639906922629436	0.000945317044793485	0.00654450261780105	0.00567190226876091	0	0.00596276905177429	0.00138161721931355	0.00138161721931355	0.00247236765561373	0.00283595113438045	0.00109075043630017	0	0.00116346713205352	0.00014543339150669	0	0.101439790575916	0.00109075043630017	0.00392670157068063	0.00908958696916812	0.000218150087260035	0.0101803374054683	0.00908958696916812	0.00247236765561373	0.00087260034904014	0.00087260034904014	0.00181791739383362	0	0.00087260034904014	0.00327225130890052	0.00058173356602676	0	0.000509016870273415	0.00152705061082024	0	0	0	0.00043630017452007	0	0	0	0	0.0407213496218732	0	0	0.000218150087260035	0	0	0.00465386852821408	0.00232693426410704	0.0161431064572426	0.0177428737638162	0	0.00029086678301338	0.0106893542757417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
